0x8000000L,mov     eax, [esp+mode]
0x800002cL,jz      short loc_800003D
0x800002eL,cmp     byte ptr [ebp+eax-1], 2Fh
0x8000033L,setnz   al
0x8000036L,and     eax, 0FFh
0x800003bL,mov     edi, eax
0x800003dL,mov     esi, [esp+2Ch+s]
0x8000041L,cmp     byte ptr [esi], 2Fh
0x8000044L,jz      short loc_80000B8
0x8000046L,sub     esp, 0Ch
0x8000049L,push    esi             ; s
0x800004aL,call    strlen
0x800004fL,mov     ecx, eax
0x8000051L,lea     eax, [edi+ebx+1]
0x8000055L,add     eax, ecx
0x8000057L,mov     [esp+3Ch+var_20], ecx
0x800005bL,mov     [esp+3Ch+var_3C], eax; size_t
0x800005eL,call    xmalloc
0x8000063L,add     esp, 0Ch
0x8000066L,mov     ebp, eax
0x8000068L,push    ebx
0x8000069L,mov     ecx, [esp+34h+arg_0]
0x800006dL,push    ecx
0x800006eL,push    eax
0x800006fL,call    mempcpy
0x8000074L,add     esp, 10h
0x8000077L,mov     ebx, [esp+2Ch+arg_8]
0x800007bL,mov     ecx, [esp+2Ch+var_20]
0x800007fL,mov     byte ptr [eax], 2Fh
0x8000082L,add     eax, edi
0x8000084L,test    ebx, ebx
0x8000086L,jz      short loc_80000A0
0x8000088L,mov     edx, [esp+2Ch+s]
0x800008cL,xor     ebx, ebx
0x800008eL,cmp     byte ptr [edx], 2Fh
0x8000091L,mov     edx, eax
0x8000093L,setz    bl
0x8000096L,sub     edx, ebx
0x8000098L,mov     ebx, edx
0x800009aL,mov     edx, [esp+2Ch+arg_8]
0x800009eL,mov     [edx], ebx
0x80000a0L,push    edx
0x80000a1L,push    ecx
0x80000a2L,push    esi
0x80000a3L,push    eax
0x80000a4L,call    mempcpy
0x80000a9L,mov     byte ptr [eax], 0
0x80000acL,add     esp, 2Ch
0x80000afL,mov     eax, ebp
0x80000b1L,pop     ebx
0x80000b2L,pop     esi
0x80000b3L,pop     edi
0x80000b4L,pop     ebp
0x80000b5L,retn
0x80000b8L,inc     esi
0x80000b9L,cmp     byte ptr [esi], 2Fh
0x80000bcL,jnz     short loc_8000046
0x80000beL,inc     esi
0x80000bfL,cmp     byte ptr [esi], 2Fh
0x80000c2L,jnz     short loc_8000046
0x80000c4L,jmp     short loc_80000B8
0x8000000L,push    edi
0x8000001L,push    esi
0x8000002L,push    ebx
0x8000003L,mov     esi, [esp+0Ch+modes]
0x8000007L,push    edx
0x8000008L,push    edx
0x8000009L,push    esi
0x800000aL,mov     ecx, [esp+18h+arg_0]
0x800000eL,push    ecx
0x800000fL,call    fopen64
0x8000014L,add     esp, 10h
0x8000017L,test    eax, eax
0x8000019L,jz      short loc_8000078
0x800001bL,sub     esp, 0Ch
0x800001eL,mov     ebx, eax
0x8000020L,push    eax             ; stream
0x8000021L,call    fileno
0x8000026L,add     esp, 10h
0x8000029L,cmp     eax, 2
0x800002cL,jbe     short loc_8000038
0x800002eL,mov     eax, ebx
0x8000030L,pop     ebx
0x8000031L,pop     esi
0x8000032L,pop     edi
0x8000033L,retn
0x8000038L,sub     esp, 0Ch
0x800003bL,push    eax
0x800003cL,call    dup_safer
0x8000041L,add     esp, 10h
0x8000044L,mov     edi, eax
0x8000046L,test    eax, eax
0x8000048L,js      short loc_80000A0
0x800004aL,sub     esp, 0Ch
0x800004dL,push    ebx             ; stream
0x800004eL,call    fclose
0x8000053L,add     esp, 10h
0x8000056L,test    eax, eax
0x8000058L,jnz     short loc_8000080
0x800005aL,push    eax
0x800005bL,push    eax
0x800005cL,push    esi             ; modes
0x800005dL,push    edi             ; fd
0x800005eL,call    fdopen
0x8000063L,add     esp, 10h
0x8000066L,test    eax, eax
0x8000068L,jz      short loc_8000080
0x800006aL,mov     ebx, eax
0x800006cL,mov     eax, ebx
0x800006eL,pop     ebx
0x800006fL,pop     esi
0x8000070L,pop     edi
0x8000071L,retn
0x8000078L,xor     ebx, ebx
0x800007aL,mov     eax, ebx
0x800007cL,pop     ebx
0x800007dL,pop     esi
0x800007eL,pop     edi
0x800007fL,retn
0x8000080L,call    __errno_location
0x8000085L,sub     esp, 0Ch
0x8000088L,mov     ebx, eax
0x800008aL,mov     esi, [eax]
0x800008cL,push    edi             ; fd
0x800008dL,call    close
0x8000092L,mov     [ebx], esi
0x8000094L,add     esp, 10h
0x8000097L,xor     ebx, ebx
0x8000099L,jmp     short loc_800002E
0x80000a0L,call    __errno_location
0x80000a5L,sub     esp, 0Ch
0x80000a8L,mov     esi, eax
0x80000aaL,mov     edi, [eax]
0x80000acL,push    ebx             ; stream
0x80000adL,xor     ebx, ebx
0x80000afL,call    fclose
0x80000b4L,mov     [esi], edi
0x80000b6L,add     esp, 10h
0x80000b9L,jmp     loc_800002E
0x8000000L,test    ecx, ecx
0x8000002L,jz      short locret_8000039
0x8000004L,push    ebp
0x8000005L,push    edi
0x8000006L,push    esi
0x8000007L,push    ebx
0x8000008L,sub     esp, 0Ch
0x800000bL,mov     edi, eax
0x800000dL,mov     esi, edx
0x800000fL,mov     ebx, ecx
0x8000011L,call    __ctype_tolower_loc
0x8000016L,mov     ebp, eax
0x8000018L,xor     edx, edx
0x800001aL,push    eax
0x800001bL,push    eax
0x800001cL,push    edi             ; stream
0x800001dL,mov     dl, [esi]
0x800001fL,mov     eax, [ebp+0]
0x8000022L,inc     esi
0x8000023L,mov     edx, [eax+edx*4]
0x8000026L,push    edx             ; c
0x8000027L,call    fputc
0x800002cL,add     esp, 10h
0x800002fL,dec     ebx
0x8000030L,jnz     short loc_8000018
0x8000032L,add     esp, 0Ch
0x8000035L,pop     ebx
0x8000036L,pop     esi
0x8000037L,pop     edi
0x8000038L,pop     ebp
0x8000039L,retn
0x8000040L,test    ecx, ecx
0x8000042L,jz      short locret_8000079
0x8000044L,push    ebp
0x8000045L,push    edi
0x8000046L,push    esi
0x8000047L,push    ebx
0x8000048L,sub     esp, 0Ch
0x800004bL,mov     edi, eax
0x800004dL,mov     esi, edx
0x800004fL,mov     ebx, ecx
0x8000051L,call    __ctype_toupper_loc
0x8000056L,mov     ebp, eax
0x8000058L,xor     edx, edx
0x800005aL,push    eax
0x800005bL,push    eax
0x800005cL,push    edi             ; stream
0x800005dL,mov     dl, [esi]
0x800005fL,mov     eax, [ebp+0]
0x8000062L,inc     esi
0x8000063L,mov     edx, [eax+edx*4]
0x8000066L,push    edx             ; c
0x8000067L,call    fputc
0x800006cL,add     esp, 10h
0x800006fL,dec     ebx
0x8000070L,jnz     short loc_8000058
0x8000072L,add     esp, 0Ch
0x8000075L,pop     ebx
0x8000076L,pop     esi
0x8000077L,pop     edi
0x8000078L,pop     ebp
0x8000079L,retn
0x8000080L,push    ebp
0x8000081L,push    edi
0x8000082L,push    esi
0x8000083L,push    ebx
0x8000084L,sub     esp, 46Ch
0x800008aL,mov     esi, ecx
0x800008cL,mov     [esp+47Ch+var_455], al
0x8000090L,mov     ecx, [esp+47Ch+tp]
0x8000097L,mov     eax, [esp+47Ch+tp]
0x800009eL,mov     [esp+47Ch+stream], edx
0x80000a2L,mov     ecx, [ecx+28h]
0x80000a5L,mov     eax, [eax+8]
0x80000a8L,mov     [esp+47Ch+s], ecx
0x80000acL,mov     [esp+47Ch+var_454], eax
0x80000b0L,cmp     eax, 0Ch
0x80000b3L,jle     loc_8000390
0x80000b9L,sub     eax, 0Ch
0x80000bcL,mov     [esp+47Ch+var_454], eax
0x80000c0L,movsx   eax, byte ptr [esi]
0x80000c3L,test    al, al
0x80000c5L,jz      loc_80002B8
0x80000cbL,mov     [esp+47Ch+var_464], 0
0x80000d3L,mov     [esp+47Ch+var_470], 0
0x80000dbL,lea     ebp, [esp+47Ch+ps]
0x80000dfL,cmp     al, 3Fh
0x80000e1L,jg      loc_8000270
0x80000e7L,cmp     al, 26h
0x80000e9L,jge     loc_8000288
0x80000efL,cmp     al, 23h
0x80000f1L,jle     short loc_8000140
0x80000f3L,cmp     al, 25h
0x80000f5L,jnz     short loc_8000154
0x80000f7L,mov     al, [esp+47Ch+var_455]
0x80000fbL,xor     edi, edi
0x80000fdL,mov     byte ptr [esp+47Ch+var_45C], al
0x8000101L,mov     [esp+47Ch+var_460], 0
0x8000109L,inc     esi
0x800010aL,movsx   eax, byte ptr [esi]
0x800010dL,cmp     al, 30h
0x800010fL,jz      short loc_8000128
0x8000111L,jg      short loc_8000130
0x8000113L,cmp     al, 23h
0x8000115L,jnz     loc_80002C8
0x800011bL,inc     esi
0x800011cL,mov     edi, 1
0x8000121L,movsx   eax, byte ptr [esi]
0x8000124L,cmp     al, 30h
0x8000126L,jnz     short loc_8000111
0x8000128L,mov     [esp+47Ch+var_460], eax
0x800012cL,jmp     short loc_8000109
0x8000130L,cmp     al, 5Eh
0x8000132L,jnz     loc_8000340
0x8000138L,mov     byte ptr [esp+47Ch+var_45C], 1
0x800013dL,jmp     short loc_8000109
0x8000140L,cmp     al, 20h
0x8000142L,jge     loc_8000288
0x8000148L,lea     edx, [eax-8]
0x800014bL,cmp     dl, 5
0x800014eL,jbe     loc_8000288
0x8000154L,mov     eax, ds:mbstate_zero
0x8000159L,mov     edx, ds:dword_8001C20
0x800015fL,mov     [esp+47Ch+ps.__count], eax
0x8000163L,mov     eax, [esp+47Ch+var_464]
0x8000167L,mov     dword ptr [esp+47Ch+ps.__value], edx
0x800016bL,test    eax, eax
0x800016dL,jz      loc_80004B8
0x8000173L,mov     eax, [esp+47Ch+var_464]
0x8000177L,xor     ebx, ebx
0x8000179L,sub     eax, esi
0x800017bL,mov     [esp+47Ch+ptr], eax
0x800017fL,jmp     short loc_80001AC
0x8000188L,cmp     eax, 0FFFFFFFEh
0x800018bL,jz      loc_80003B0
0x8000191L,cmp     eax, 0FFFFFFFFh
0x8000194L,jz      loc_80003D8
0x800019aL,sub     esp, 0Ch
0x800019dL,add     ebx, eax
0x800019fL,push    ebp             ; ps
0x80001a0L,call    mbsinit
0x80001a5L,add     esp, 10h
0x80001a8L,test    eax, eax
0x80001aaL,jnz     short loc_80001C6
0x80001acL,push    ebp             ; p
0x80001adL,lea     edi, [esi+ebx]
0x80001b0L,mov     eax, [esp+480h+ptr]
0x80001b4L,sub     eax, ebx
0x80001b6L,push    eax             ; n
0x80001b7L,push    edi             ; s
0x80001b8L,push    0               ; pwc
0x80001baL,call    mbrtowc
0x80001bfL,add     esp, 10h
0x80001c2L,test    eax, eax
0x80001c4L,jnz     short loc_8000188
0x80001c6L,mov     eax, ebx
0x80001c8L,xor     eax, 0FFFFFFFFh
0x80001cbL,mov     edx, eax
0x80001cdL,test    eax, eax
0x80001cfL,js      loc_80003CD
0x80001d5L,add     eax, ebx
0x80001d7L,mov     ecx, eax
0x80001d9L,mov     [esp+47Ch+ptr], eax
0x80001ddL,mov     eax, [esp+47Ch+var_470]
0x80001e1L,xor     eax, 0FFFFFFFFh
0x80001e4L,cmp     eax, ecx
0x80001e6L,jbe     loc_80002B8
0x80001ecL,mov     eax, [esp+47Ch+stream]
0x80001f0L,test    eax, eax
0x80001f2L,jz      short loc_800023A
0x80001f4L,xor     edi, edi
0x80001f6L,test    edx, edx
0x80001f8L,jle     short loc_8000222
0x80001faL,mov     [esp+47Ch+var_468], ebx
0x80001feL,mov     [esp+47Ch+var_460], esi
0x8000202L,mov     ebx, [esp+47Ch+stream]
0x8000206L,mov     esi, edx
0x8000208L,inc     edi
0x8000209L,push    eax
0x800020aL,push    eax
0x800020bL,push    ebx             ; stream
0x800020cL,push    20h             ; c
0x800020eL,call    fputc
0x8000213L,add     esp, 10h
0x8000216L,cmp     esi, edi
0x8000218L,jnz     short loc_8000208
0x800021aL,mov     ebx, [esp+47Ch+var_468]
0x800021eL,mov     esi, [esp+47Ch+var_460]
0x8000222L,cmp     [esp+47Ch+var_455], 0
0x8000227L,jz      loc_80003E0
0x800022dL,mov     ecx, ebx
0x800022fL,mov     edx, esi
0x8000231L,mov     eax, [esp+47Ch+stream]
0x8000235L,call    fwrite_uppcase
0x800023aL,mov     edi, [esp+47Ch+var_470]
0x800023eL,mov     ecx, [esp+47Ch+ptr]
0x8000242L,add     edi, ecx
0x8000244L,lea     eax, [esi+ebx-1]
0x8000248L,mov     [esp+47Ch+var_470], edi
0x800024cL,mov     [esp+47Ch+var_468], eax
0x8000250L,mov     eax, [esp+47Ch+var_468]
0x8000254L,lea     esi, [eax+1]
0x8000257L,movsx   eax, byte ptr [eax+1]
0x800025bL,test    al, al
0x800025dL,jnz     loc_80000DF
0x8000263L,mov     eax, [esp+47Ch+var_470]
0x8000267L,jmp     short loc_80002BA
0x8000270L,cmp     al, 41h
0x8000272L,jl      loc_8000154
0x8000278L,cmp     al, 5Fh
0x800027aL,jle     short loc_8000288
0x800027cL,lea     edx, [eax-61h]
0x800027fL,cmp     dl, 1Dh
0x8000282L,ja      loc_8000154
0x8000288L,cmp     [esp+47Ch+var_470], 0FFFFFFFDh
0x800028dL,ja      short loc_80002B8
0x800028fL,mov     ecx, [esp+47Ch+stream]
0x8000293L,test    ecx, ecx
0x8000295L,jz      short loc_80002A3
0x8000297L,push    edx
0x8000298L,push    edx
0x8000299L,push    ecx             ; stream
0x800029aL,push    eax             ; c
0x800029bL,call    fputc
0x80002a0L,add     esp, 10h
0x80002a3L,mov     eax, [esp+47Ch+var_470]
0x80002a7L,mov     [esp+47Ch+var_468], esi
0x80002abL,inc     eax
0x80002acL,mov     [esp+47Ch+var_470], eax
0x80002b0L,jmp     short loc_8000250
0x80002b8L,xor     eax, eax
0x80002baL,add     esp, 46Ch
0x80002c0L,pop     ebx
0x80002c1L,pop     esi
0x80002c2L,pop     edi
0x80002c3L,pop     ebp
0x80002c4L,retn
0x80002c8L,cmp     al, 2Dh
0x80002caL,jz      loc_8000128
0x80002d0L,movsx   edx, al
0x80002d3L,sub     edx, 30h
0x80002d6L,or      ebx, 0FFFFFFFFh
0x80002d9L,cmp     edx, 9
0x80002dcL,ja      short loc_800031D
0x80002deL,xor     ebx, ebx
0x80002e0L,jmp     short loc_8000302
0x80002e8L,movsx   eax, byte ptr [esi]
0x80002ebL,jz      short loc_8000350
0x80002edL,lea     edx, [ebx+ebx*4]
0x80002f0L,inc     esi
0x80002f1L,lea     ebx, [eax+edx*2-30h]
0x80002f5L,movsx   edx, byte ptr [esi]
0x80002f8L,mov     eax, edx
0x80002faL,sub     edx, 30h
0x80002fdL,cmp     edx, 9
0x8000300L,ja      short loc_800031D
0x8000302L,cmp     ebx, 0CCCCCCCh
0x8000308L,jle     short loc_80002E8
0x800030aL,mov     ebx, 7FFFFFFFh
0x800030fL,inc     esi
0x8000310L,movsx   edx, byte ptr [esi]
0x8000313L,mov     eax, edx
0x8000315L,sub     edx, 30h
0x8000318L,cmp     edx, 9
0x800031bL,jbe     short loc_8000302
0x800031dL,cmp     al, 45h
0x800031fL,jz      short loc_8000360
0x8000321L,cmp     al, 4Fh
0x8000323L,jz      short loc_8000360
0x8000325L,movsx   ecx, al
0x8000328L,mov     [esp+47Ch+var_450], ecx
0x800032cL,cmp     al, 7Ah
0x800032eL,ja      loc_8001597
0x8000334L,xor     edx, edx
0x8000336L,mov     dl, al
0x8000338L,jmp     ds:off_8001C48[edx*4]; jumptable 08000383 case 0
0x8000340L,cmp     al, 5Fh
0x8000342L,jnz     short loc_80002D0
0x8000344L,mov     [esp+47Ch+var_460], eax
0x8000348L,jmp     loc_8000109
0x8000350L,cmp     al, 37h
0x8000352L,jle     short loc_80002ED
0x8000354L,mov     ebx, 7FFFFFFFh
0x8000359L,jmp     short loc_800030F
0x8000360L,lea     ecx, [esi+1]
0x8000363L,movsx   esi, byte ptr [esi+1]
0x8000367L,mov     edx, esi
0x8000369L,mov     [esp+47Ch+var_468], ecx
0x800036dL,mov     byte ptr [esp+47Ch+ptr], dl
0x8000371L,mov     [esp+47Ch+var_450], esi
0x8000375L,movsx   ecx, al
0x8000378L,cmp     dl, 7Ah
0x800037bL,ja      short loc_80003F8; jumptable 08000383 cases 1-57,59-66,68-70,74-76,79,81,91-97,102,105,111,113,118
0x800037dL,and     esi, 0FFh       ; switch 256 cases 
0x8000383L,jmp     ds:off_8001E34[esi*4]; switch jump
0x8000390L,mov     ecx, [esp+47Ch+var_454]
0x8000394L,test    ecx, ecx
0x8000396L,jnz     loc_80000C0
0x800039cL,mov     [esp+47Ch+var_454], 0Ch
0x80003a4L,jmp     loc_80000C0
0x80003b0L,sub     esp, 0Ch
0x80003b3L,push    edi             ; s
0x80003b4L,call    strlen
0x80003b9L,add     ebx, eax
0x80003bbL,add     esp, 10h
0x80003beL,mov     eax, ebx
0x80003c0L,xor     eax, 0FFFFFFFFh
0x80003c3L,mov     edx, eax
0x80003c5L,test    eax, eax
0x80003c7L,jns     loc_80001D5
0x80003cdL,xor     eax, eax
0x80003cfL,jmp     loc_80001D5
0x80003d8L,inc     ebx
0x80003d9L,jmp     loc_80001C6
0x80003e0L,mov     eax, [esp+47Ch+stream]
0x80003e4L,push    eax             ; s
0x80003e5L,push    1               ; n
0x80003e7L,push    ebx             ; size
0x80003e8L,push    esi             ; ptr
0x80003e9L,call    fwrite
0x80003eeL,add     esp, 10h
0x80003f1L,jmp     loc_800023A
0x80003f8L,mov     al, dl          ; jumptable 08000383 cases 1-57,59-66,68-70,74-76,79,81,91-97,102,105,111,113,118
0x80003faL,cmp     al, 25h
0x80003fcL,mov     eax, [esp+47Ch+var_468]
0x8000400L,jz      loc_80004EF
0x8000406L,dec     eax
0x8000407L,mov     esi, 1
0x800040cL,mov     edx, eax
0x800040eL,dec     eax
0x800040fL,inc     esi
0x8000410L,cmp     byte ptr [eax+1], 25h
0x8000414L,jnz     short loc_800040C
0x8000416L,mov     [esp+47Ch+var_450], edx
0x800041aL,mov     edi, ebx
0x800041cL,sub     edi, esi
0x800041eL,mov     eax, edi
0x8000420L,test    edi, edi
0x8000422L,js      loc_80004FD
0x8000428L,add     eax, esi
0x800042aL,mov     ecx, eax
0x800042cL,mov     [esp+47Ch+ptr], eax
0x8000430L,mov     eax, [esp+47Ch+var_470]
0x8000434L,xor     eax, 0FFFFFFFFh
0x8000437L,cmp     eax, ecx
0x8000439L,jbe     loc_80002B8
0x800043fL,mov     eax, [esp+47Ch+stream]
0x8000443L,test    eax, eax
0x8000445L,jz      short loc_800048C
0x8000447L,test    edi, edi
0x8000449L,jle     short loc_8000476
0x800044bL,xor     ebx, ebx
0x800044dL,cmp     [esp+47Ch+var_460], 30h
0x8000452L,mov     [esp+47Ch+var_460], esi
0x8000456L,mov     esi, [esp+47Ch+stream]
0x800045aL,jz      short loc_80004A0
0x800045cL,lea     esi, [esi+0]
0x8000460L,inc     ebx
0x8000461L,push    eax
0x8000462L,push    eax
0x8000463L,push    esi             ; stream
0x8000464L,push    20h             ; c
0x8000466L,call    fputc
0x800046bL,add     esp, 10h
0x800046eL,cmp     ebx, edi
0x8000470L,jnz     short loc_8000460
0x8000472L,mov     esi, [esp+47Ch+var_460]
0x8000476L,cmp     byte ptr [esp+47Ch+var_45C], 0
0x800047bL,jz      short loc_80004D8
0x800047dL,mov     ecx, esi
0x800047fL,mov     edx, [esp+47Ch+var_450]
0x8000483L,mov     eax, [esp+47Ch+stream]
0x8000487L,call    fwrite_uppcase
0x800048cL,mov     edx, [esp+47Ch+var_470]
0x8000490L,mov     ecx, [esp+47Ch+ptr]
0x8000494L,add     edx, ecx
0x8000496L,mov     [esp+47Ch+var_470], edx
0x800049aL,jmp     loc_8000250
0x80004a0L,inc     ebx
0x80004a1L,push    eax
0x80004a2L,push    eax
0x80004a3L,push    esi             ; stream
0x80004a4L,push    30h             ; c
0x80004a6L,call    fputc
0x80004abL,add     esp, 10h
0x80004aeL,cmp     ebx, edi
0x80004b0L,jnz     short loc_80004A0
0x80004b2L,jmp     short loc_8000472
0x80004b8L,sub     esp, 0Ch
0x80004bbL,push    esi             ; s
0x80004bcL,call    strlen
0x80004c1L,add     esp, 10h
0x80004c4L,lea     eax, [esi+eax+1]
0x80004c8L,mov     [esp+47Ch+var_464], eax
0x80004ccL,jmp     loc_8000173
0x80004d8L,mov     ecx, [esp+47Ch+stream]
0x80004dcL,push    ecx             ; s
0x80004ddL,push    1               ; n
0x80004dfL,push    esi             ; size
0x80004e0L,mov     ebx, [esp+488h+var_450]
0x80004e4L,push    ebx             ; ptr
0x80004e5L,call    fwrite
0x80004eaL,add     esp, 10h
0x80004edL,jmp     short loc_800048C
0x80004efL,mov     [esp+47Ch+var_450], eax
0x80004f3L,mov     esi, 1
0x80004f8L,jmp     loc_800041A
0x80004fdL,xor     eax, eax
0x80004ffL,jmp     loc_8000428
0x8000504L,mov     eax, edi
0x8000506L,test    al, al
0x8000508L,jz      short loc_800050F
0x800050aL,mov     byte ptr [esp+47Ch+var_45C], 1
0x800050fL,mov     al, byte ptr [esp+47Ch+var_450]
0x8000513L,mov     [esp+47Ch+format], 20h
0x8000518L,mov     byte ptr [esp+47Ch+ptr], al
0x800051cL,mov     [esp+47Ch+var_429], 25h
0x8000521L,mov     [esp+47Ch+var_468], esi
0x8000525L,mov     byte ptr [esp+47Ch+var_450], 0
0x800052aL,mov     [esp+47Ch+var_438], 0
0x8000532L,lea     eax, [esp+47Ch+var_428]
0x8000536L,xchg    ax, ax
0x8000538L,mov     cl, byte ptr [esp+47Ch+ptr]
0x800053cL,mov     byte ptr [eax+1], 0
0x8000540L,mov     [eax], cl
0x8000542L,mov     eax, [esp+47Ch+tp]
0x8000549L,push    eax             ; tp
0x800054aL,lea     eax, [esp+480h+format]
0x800054eL,push    eax             ; format
0x800054fL,push    400h            ; maxsize
0x8000554L,push    ebp             ; s
0x8000555L,call    strftime
0x800055aL,add     esp, 10h
0x800055dL,test    eax, eax
0x800055fL,jz      loc_8000250
0x8000565L,lea     edi, [eax-1]
0x8000568L,sub     ebx, edi
0x800056aL,mov     eax, ebx
0x800056cL,test    ebx, ebx
0x800056eL,js      loc_8001625
0x8000574L,add     eax, edi
0x8000576L,mov     ecx, eax
0x8000578L,mov     [esp+47Ch+ptr], eax
0x800057cL,mov     eax, [esp+47Ch+var_470]
0x8000580L,xor     eax, 0FFFFFFFFh
0x8000583L,cmp     eax, ecx
0x8000585L,jbe     loc_80002B8
0x800058bL,mov     eax, [esp+47Ch+stream]
0x800058fL,test    eax, eax
0x8000591L,jz      loc_800048C
0x8000597L,mov     eax, [esp+47Ch+var_438]
0x800059bL,test    eax, eax
0x800059dL,jnz     short loc_80005CE
0x800059fL,test    ebx, ebx
0x80005a1L,jle     short loc_80005CE
0x80005a3L,xor     esi, esi
0x80005a5L,cmp     [esp+47Ch+var_460], 30h
0x80005aaL,mov     [esp+47Ch+var_460], edi
0x80005aeL,mov     edi, [esp+47Ch+stream]
0x80005b2L,jz      short loc_80005F8
0x80005b4L,lea     esi, [esi+0]
0x80005b8L,inc     esi
0x80005b9L,push    ecx
0x80005baL,push    ecx
0x80005bbL,push    edi             ; stream
0x80005bcL,push    20h             ; c
0x80005beL,call    fputc
0x80005c3L,add     esp, 10h
0x80005c6L,cmp     esi, ebx
0x80005c8L,jnz     short loc_80005B8
0x80005caL,mov     edi, [esp+47Ch+var_460]
0x80005ceL,cmp     byte ptr [esp+47Ch+var_450], 0
0x80005d3L,jnz     loc_800160A
0x80005d9L,cmp     byte ptr [esp+47Ch+var_45C], 0
0x80005deL,jz      loc_80015D8
0x80005e4L,mov     ecx, edi
0x80005e6L,lea     edx, [esp+47Ch+ps.__count+1]
0x80005eaL,mov     eax, [esp+47Ch+stream]
0x80005eeL,call    fwrite_uppcase
0x80005f3L,jmp     loc_800048C
0x80005f8L,inc     esi
0x80005f9L,push    eax
0x80005faL,push    eax
0x80005fbL,push    edi             ; stream
0x80005fcL,push    30h             ; c
0x80005feL,call    fputc
0x8000603L,add     esp, 10h
0x8000606L,cmp     esi, ebx
0x8000608L,jnz     short loc_80005F8
0x800060aL,jmp     short loc_80005CA
0x800060cL,mov     al, dl          ; jumptable 08000383 cases 88,99,120
0x800060eL,cmp     ecx, 4Fh
0x8000611L,jz      loc_80003FA
0x8000617L,mov     esi, [esp+47Ch+var_468]
0x800061bL,mov     al, byte ptr [esp+47Ch+var_450]
0x800061fL,mov     [esp+47Ch+var_468], esi
0x8000623L,mov     byte ptr [esp+47Ch+ptr], al
0x8000627L,mov     byte ptr [esp+47Ch+var_450], 0
0x800062cL,mov     [esp+47Ch+var_438], 0
0x8000634L,lea     esi, [esi+0]
0x8000638L,mov     [esp+47Ch+format], 20h
0x800063dL,mov     [esp+47Ch+var_429], 25h
0x8000642L,lea     eax, [esp+47Ch+var_428]
0x8000646L,test    ecx, ecx
0x8000648L,jz      loc_8000538
0x800064eL,mov     [esp+47Ch+var_428], cl
0x8000652L,lea     eax, [esp+47Ch+var_427]
0x8000656L,jmp     loc_8000538
0x800065bL,xor     ecx, ecx
0x800065dL,jmp     short loc_800061B
0x800065fL,mov     [esp+47Ch+var_468], esi
0x8000663L,mov     [esp+47Ch+ptr], offset aHM; jumptable 08000383 case 82
0x800066bL,movzx   edi, byte ptr [esp+47Ch+var_45C]
0x8000670L,push    eax
0x8000671L,and     edi, 0FFh
0x8000677L,mov     eax, [esp+480h+arg_8]
0x800067eL,xor     edx, edx
0x8000680L,push    eax             ; int
0x8000681L,mov     esi, ebx
0x8000683L,mov     eax, [esp+484h+arg_4]
0x800068aL,push    eax             ; int
0x800068bL,mov     eax, [esp+488h+tp]
0x8000692L,push    eax             ; tp
0x8000693L,mov     eax, edi
0x8000695L,mov     ecx, [esp+48Ch+ptr]
0x8000699L,call    strftime_case_
0x800069eL,add     esp, 10h
0x80006a1L,sub     esi, eax
0x80006a3L,mov     edx, esi
0x80006a5L,test    esi, esi
0x80006a7L,js      loc_8001847
0x80006adL,add     eax, edx
0x80006afL,mov     ecx, eax
0x80006b1L,mov     [esp+47Ch+var_45C], eax
0x80006b5L,mov     eax, [esp+47Ch+var_470]
0x80006b9L,xor     eax, 0FFFFFFFFh
0x80006bcL,cmp     eax, ecx
0x80006beL,jbe     loc_80002B8
0x80006c4L,mov     eax, [esp+47Ch+stream]
0x80006c8L,test    eax, eax
0x80006caL,jz      short loc_8000729
0x80006ccL,test    esi, esi
0x80006ceL,jle     short loc_80006FE
0x80006d0L,xor     ebx, ebx
0x80006d2L,cmp     [esp+47Ch+var_460], 30h
0x80006d7L,mov     [esp+47Ch+var_460], edi
0x80006dbL,mov     edi, [esp+47Ch+stream]
0x80006dfL,jz      short loc_8000740
0x80006e1L,lea     esi, [esi+0]
0x80006e8L,inc     ebx
0x80006e9L,push    eax
0x80006eaL,push    eax
0x80006ebL,push    edi             ; stream
0x80006ecL,push    20h             ; c
0x80006eeL,call    fputc
0x80006f3L,add     esp, 10h
0x80006f6L,cmp     esi, ebx
0x80006f8L,jnz     short loc_80006E8
0x80006faL,mov     edi, [esp+47Ch+var_460]
0x80006feL,push    ecx
0x80006ffL,mov     ebx, [esp+480h+arg_8]
0x8000706L,push    ebx             ; int
0x8000707L,mov     esi, [esp+484h+arg_4]
0x800070eL,push    esi             ; int
0x800070fL,mov     eax, [esp+488h+tp]
0x8000716L,push    eax             ; tp
0x8000717L,mov     eax, edi
0x8000719L,mov     ecx, [esp+48Ch+ptr]
0x800071dL,mov     edx, [esp+48Ch+stream]
0x8000721L,call    strftime_case_
0x8000726L,add     esp, 10h
0x8000729L,mov     eax, [esp+47Ch+var_470]
0x800072dL,mov     ecx, [esp+47Ch+var_45C]
0x8000731L,add     eax, ecx
0x8000733L,mov     [esp+47Ch+var_470], eax
0x8000737L,jmp     loc_8000250
0x8000740L,inc     ebx
0x8000741L,push    edx
0x8000742L,push    edx
0x8000743L,push    edi             ; stream
0x8000744L,push    30h             ; c
0x8000746L,call    fputc
0x800074bL,add     esp, 10h
0x800074eL,cmp     ebx, esi
0x8000750L,jnz     short loc_8000740
