0x0L,CMN             W1, #1  ; Alternative name is '$x'
0x4L,B.EQ            loc_14
0x334L,B.NE            loc_2B8
0x338L,FMOV            X5, D10
0x33cL,MOV             X0, X25
0x340L,MOV             X1, X22
0x344L,MOV             X2, X27
0x348L,MOV             X3, X23
0x34cL,MOV             W4, #2
0x350L,BL              quotearg_buffer_restyled
0x354L,LDP             X19, X20, [SP,#arg_10]
0x358L,LDP             D8, D9, [SP,#arg_60]
0x35cL,LDP             X21, X22, [SP,#arg_20]
0x360L,LDP             D10, D11, [SP,#arg_70]
0x364L,LDP             X23, X24, [SP,#arg_30]
0x368L,LDP             D12, D13, [SP,#arg_80]
0x36cL,LDP             X25, X26, [SP,#arg_40]
0x370L,LDP             X27, X28, [SP,#arg_50]
0x374L,LDR             D14, [SP,#arg_90]
0x378L,LDP             X29, X30, [SP+arg_0],#0xE0
0x37cL,RET
0x41cL,MOV             X20, X0
0x420L,B               loc_300
0x678L,LDRB            W0, [X27,#1]
0x67cL,CMP             W0, WZR
0x680L,CSET            W0, NE
0x684L,CBNZ            W0, loc_2B8
0x688L,B               loc_328
0x4a0L,BL              sub_4A0
0x4a4L,LDR             X0, [X0]
0x4a8L,FMOV            X7, D13
0x4acL,LDRH            W0, [X0,W21,UXTW#1]
0x4b0L,UBFM            X0, X0, #0xE, #0xE
0x4b4L,STR             X0, [X29,#0xC0]
0x4b8L,LDR             W0, [X29,#0xC0]
0x4bcL,CMP             W26, W0
0x4c0L,B.LS            loc_2B8
0x4c4L,ADD             X7, X20, X7
0x4c8L,ADD             X0, X25, X19
0x4ccL,MOV             W2, #0x5C
0x4d0L,ADD             X19, X19, #3
0x4d4L,B               loc_4F0
0x4d8L,CMP             X22, X19
0x4dcL,B.LS            loc_4E4
0x4e0L,STRB            W21, [X0,#3]
0x4e4L,LDRB            W21, [X27,X20]
0x4e8L,ADD             X0, X0, #4
0x4ecL,ADD             X19, X19, #4
0x4f0L,SUB             X1, X19, #3
0x4f4L,CMP             X22, X1
0x4f8L,B.LS            loc_500
0x4fcL,STRB            W2, [X0]
0x500L,SUB             X1, X19, #2
0x504L,CMP             X22, X1
0x508L,B.LS            loc_518
0x50cL,UBFM            W1, W21, #6, #0x1F
0x510L,ADD             W1, W1, #0x30
0x514L,STRB            W1, [X0,#1]
0x518L,SUB             X1, X19, #1
0x51cL,CMP             X1, X22
0x520L,B.CS            loc_530
0x524L,UBFM            X1, X21, #3, #5
0x528L,ADD             W1, W1, #0x30
0x52cL,STRB            W1, [X0,#2]
0x530L,ADD             X20, X20, #1
0x534L,AND             W21, W21, #7
0x538L,CMP             X7, X20
0x53cL,ADD             W21, W21, #0x30
0x540L,B.HI            loc_4D8
0x544L,B               loc_300
0x690L,BL              sub_690
0x694L,MOV             X23, X0
0x698L,B               loc_10C
0x744L,STP             X29, X30, [SP,#-0x10+var_20]!
0x748L,MOV             X29, SP
0x74cL,STP             X19, X20, [SP,#0x20+var_10]
0x750L,MOV             X19, X0
0x754L,STR             X21, [SP,#0x20+var_s0]
0x758L,BL              sub_758
0x75cL,MOV             X20, X0
0x760L,LDR             W21, [X0]
0x764L,CBZ             X19, loc_788
0x768L,MOV             X0, X19
0x76cL,MOV             X1, #0x24
0x788L,ADRP            X19, #quotearg_buffer_restyled@PAGE
0x78cL,MOV             X1, #0x24
0x790L,ADD             X0, X19, #quotearg_buffer_restyled@PAGEOFF
0x770L,BL              sub_770
0x774L,STR             W21, [X20]
0x778L,LDP             X19, X20, [SP,#arg_10]
0x77cL,LDR             X21, [SP,#arg_20]
0x780L,LDP             X29, X30, [SP+arg_0],#0x30
0x784L,RET
0x794L,BL              sub_794
0x798L,STR             W21, [X20]
0x79cL,LDP             X19, X20, [SP,#arg_10]
0x7a0L,LDR             X21, [SP,#arg_20]
0x7a4L,LDP             X29, X30, [SP+arg_0],#0x30
0x7a8L,RET
0x7acL,CBZ             X0, loc_7B8
0x7b0L,LDR             W0, [X0]
0x7b4L,RET
0x7b8L,ADRP            X0, #quotearg_buffer_restyled@PAGE
0x7bcL,ADD             X0, X0, #quotearg_buffer_restyled@PAGEOFF
0x7c0L,LDR             W0, [X0]
0x7c4L,RET
0x7c8L,CBZ             X0, loc_7D4
0x7ccL,STR             W1, [X0]
0x7d0L,RET
0x7d4L,ADRP            X0, #quotearg_buffer_restyled@PAGE
0x7d8L,ADD             X0, X0, #quotearg_buffer_restyled@PAGEOFF
0x7dcL,STR             W1, [X0]
0x7e0L,RET
0x7e4L,UBFM            W1, W1, #0, #7
0x7e8L,CBZ             X0, loc_81C
0x7ecL,UBFM            X3, X1, #5, #7
0x7f0L,AND             W1, W1, #0x1F
0x7f4L,ADD             X3, X0, X3,LSL#2
0x7f8L,LDR             W4, [X3,#4]
0x7fcL,LSR             W0, W4, W1
0x800L,EOR             W2, W0, W2
0x804L,AND             W0, W0, #1
0x808L,AND             W2, W2, #1
0x80cL,LSL             W1, W2, W1
0x810L,EOR             W1, W1, W4
0x814L,STR             W1, [X3,#4]
0x818L,RET
0x81cL,ADRP            X0, #quotearg_buffer_restyled@PAGE
0x820L,ADD             X0, X0, #quotearg_buffer_restyled@PAGEOFF
0x824L,B               loc_7EC
0x828L,STP             X29, X30, [SP,#-0x10+var_30]!
0x82cL,MOV             X5, X4
0x830L,MOV             X29, SP
0x834L,STP             X19, X20, [SP,#0x30+var_20]
0x838L,MOV             X20, X0
0x83cL,CBZ             X4, loc_888
0x840L,STR             X5, [X29,#arg_10]
0x844L,STR             X3, [X29,#arg_18]
0x848L,STR             X2, [X29,#arg_20]
0x84cL,STR             X1, [X29,#arg_28]
0x888L,ADRP            X5, #quotearg_buffer_restyled@PAGE
0x88cL,ADD             X5, X5, #quotearg_buffer_restyled@PAGEOFF
0x890L,B               loc_840
0x850L,BL              sub_850
0x854L,LDR             X5, [X29,#0x20]
0x858L,MOV             X19, X0
0x85cL,LDR             X1, [X29,#0x38]
0x860L,MOV             X0, X20
0x864L,LDR             X2, [X29,#0x30]
0x868L,LDR             X3, [X29,#0x28]
0x86cL,LDR             W4, [X5]
0x870L,LDR             W20, [X19]
0x874L,BL              quotearg_buffer_restyled
0x878L,STR             W20, [X19]
0x87cL,LDP             X19, X20, [SP,#arg_10]
0x880L,LDP             X29, X30, [SP+arg_0],#0x40
0x884L,RET
0x894L,STP             X29, X30, [SP,#-0x10+var_40]!
0x898L,MOV             X29, SP
0x89cL,STP             X19, X20, [SP,#0x40+var_30]
0x8a0L,MOV             X19, X2
0x8a4L,STP             X23, X24, [SP,#0x40+var_10]
0x8a8L,STP             X21, X22, [SP,#0x40+var_20]
0x8acL,MOV             X24, X0
0x8b0L,MOV             X23, X1
0x8b4L,BL              sub_8B4
0x8b8L,MOV             X20, X0
0x8bcL,LDR             W22, [X0]
0x8c0L,CBZ             X19, loc_92C
0x8c4L,MOV             X0, #0
0x8c8L,LDR             W4, [X19]
0x8ccL,MOV             X1, X0
0x8d0L,MOV             X2, X24
0x8d4L,MOV             X3, X23
0x8d8L,MOV             X5, X19
0x8dcL,BL              quotearg_buffer_restyled
0x8e0L,ADD             X1, X0, #1
0x8e4L,STR             W22, [X20]
0x8e8L,MOV             X0, X1
0x8ecL,STR             X1, [X29,#0x48]
0x92cL,ADRP            X4, #quotearg_buffer_restyled@PAGE
0x930L,MOV             X1, X19
0x934L,ADD             X5, X4, #quotearg_buffer_restyled@PAGEOFF
0x938L,MOV             X0, X19
0x93cL,MOV             X2, X24
0x940L,MOV             X3, X23
0x944L,LDR             W4, [X4,#quotearg_buffer_restyled@PAGEOFF]
0x948L,MOV             X19, X5
0x94cL,B               loc_8DC
0x8f0L,BL              sub_8F0
0x8f4L,MOV             X21, X0
0x8f8L,LDR             X1, [X29,#0x48]
0x8fcL,MOV             X2, X24
0x900L,LDR             W4, [X19]
0x904L,MOV             X3, X23
0x908L,MOV             X5, X19
0x90cL,BL              quotearg_buffer_restyled
0x910L,STR             W22, [X20]
0x914L,MOV             X0, X21
0x918L,LDP             X19, X20, [SP,#arg_10]
0x91cL,LDP             X21, X22, [SP,#arg_20]
0x920L,LDP             X23, X24, [SP,#arg_30]
0x924L,LDP             X29, X30, [SP+arg_0],#0x50
0x928L,RET
0x950L,STP             X29, X30, [SP,#-0x10+var_20]!
0x954L,MOV             X29, SP
0x958L,STP             X21, X22, [SP,#0x20+var_s0]
0x95cL,ADRP            X21, #quotearg_buffer_restyled@PAGE
0x960L,ADD             X0, X21, #quotearg_buffer_restyled@PAGEOFF
0x964L,STP             X19, X20, [SP,#0x20+var_10]
0x968L,LDR             X22, [X21,#quotearg_buffer_restyled@PAGEOFF]
0x96cL,LDR             W20, [X0,#8]
0x970L,CMP             W20, #1
0x974L,B.LS            loc_99C
0x978L,SUB             W20, W20, #2
0x97cL,MOV             X0, #0x28
0x980L,ADD             X19, X22, #0x18
0x984L,ADD             X20, X0, W20,UXTW#4
0x988L,ADD             X20, X22, X20
0x98cL,LDR             X0, [X19],#0x10
0x990L,BL              sub_990
0x994L,CMP             X19, X20
0x998L,B.NE            loc_98C
0x99cL,ADRP            X19, #quotearg_buffer_restyled@PAGE
0x9a0L,LDR             X0, [X22,#8]
0x9a4L,ADD             X19, X19, #quotearg_buffer_restyled@PAGEOFF
0x9a8L,ADD             X19, X19, #0x30
0x9acL,CMP             X0, X19
0x9b0L,B.EQ            loc_9C8
0x9b4L,BL              sub_9B4
0x9b8L,ADD             X0, X21, #quotearg_buffer_restyled@PAGEOFF
0x9bcL,MOV             X1, #0x100
0x9c0L,STR             X19, [X0,#0x18]
0x9c4L,STR             X1, [X0,#0x10]
0x9c8L,ADD             X19, X21, #quotearg_buffer_restyled@PAGEOFF
0x9ccL,ADD             X19, X19, #0x10
0x9d0L,CMP             X22, X19
0x9d4L,B.EQ            loc_9E8
0x9d8L,MOV             X0, X22
0x9dcL,BL              sub_9DC
0x9e0L,ADRP            X0, #quotearg_buffer_restyled@PAGE
0x9e4L,STR             X19, [X0,#quotearg_buffer_restyled@PAGEOFF]
0x9e8L,ADD             X21, X21, #quotearg_buffer_restyled@PAGEOFF
0x9ecL,MOV             W0, #1
0x9f0L,LDP             X19, X20, [SP,#arg_10]
0x9f4L,STR             W0, [X21,#8]
0x9f8L,LDP             X21, X22, [SP,#arg_20]
0x9fcL,LDP             X29, X30, [SP+arg_0],#0x30
0xa00L,RET
0xa04L,STP             X29, X30, [SP,#-0x10+var_60]!
0xa08L,MOV             X29, SP
0xa0cL,STP             X21, X22, [SP,#0x60+var_40]
0xa10L,ADRP            X21, #quotearg_buffer_restyled@PAGE
0xa14L,STP             X19, X20, [SP,#0x60+var_50]
0xa18L,MOV             W19, W0
0xa1cL,ADD             X22, X21, #quotearg_buffer_restyled@PAGEOFF
0xa20L,STP             X23, X24, [SP,#0x60+var_30]
0xa24L,STP             X25, X26, [SP,#0x60+var_20]
0xa28L,STP             X27, X28, [SP,#0x60+var_10]
0xa2cL,MOV             X27, X1
0xa30L,BL              sub_A30
0xa34L,LDR             X20, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xa38L,MOV             X23, X0
0xa3cL,LDR             W25, [X0]
0xa40L,TBNZ            W19, #0x1F, sub_B70
0xa44L,LDR             W0, [X22,#8]
0xa48L,MOV             W6, W25
0xa4cL,CMP             W19, W0
0xa50L,B.CC            loc_AA8
0xa54L,ADD             X0, X22, #0x10
0xa58L,ADD             W24, W19, #1
0xa5cL,CMP             X20, X0
0xa60L,MOV             X26, X24
0xa64L,B.NE            loc_B58
0xa68L,UBFM            X1, X24, #0x3C, #0x3B
0xa6cL,MOV             X0, #0
0xb58L,MOV             X0, X20
0xb5cL,UBFM            X1, X24, #0x3C, #0x3B
0xa70L,BL              sub_A70
0xa74L,MOV             X20, X0
0xa78L,LDP             X0, X1, [X22,#0x10]
0xa7cL,STR             X20, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xa80L,STP             X0, X1, [X20]
0xa84L,ADD             X21, X21, #quotearg_buffer_restyled@PAGEOFF
0xa88L,MOV             W1, #0
0xa8cL,LDR             W0, [X21,#8]
0xa90L,SUB             X2, X24, X0
0xa94L,UBFM            X2, X2, #0x3C, #0x3B
0xa98L,ADD             X0, X20, X0,LSL#4
0xa9cL,BL              sub_A9C
0xaa0L,STR             W26, [X21,#8]
0xaa4L,LDR             W6, [X23]
0xaa8L,SBFM            X19, X19, #0x3C, #0x1F
0xaacL,ADRP            X24, #quotearg_buffer_restyled@PAGE
0xab0L,ADD             X28, X20, X19
0xab4L,ADD             X22, X24, #quotearg_buffer_restyled@PAGEOFF
0xab8L,MOV             X2, X27
0xabcL,MOV             X3, #0xFFFFFFFFFFFFFFFF
0xac0L,LDR             X26, [X20,X19]
0xac4L,MOV             X5, X22
0xac8L,LDR             X21, [X28,#8]
0xaccL,LDR             W4, [X24,#quotearg_buffer_restyled@PAGEOFF]
0xad0L,MOV             X1, X26
0xad4L,MOV             X0, X21
0xad8L,STR             X6, [X29,#0x68]
0xadcL,BL              quotearg_buffer_restyled
0xae0L,CMP             X26, X0
0xae4L,LDR             X6, [X29,#0x68]
0xae8L,STR             W6, [X23]
0xaecL,B.HI            loc_B34
0xaf0L,ADD             X3, X22, #0x30
0xaf4L,ADD             X22, X0, #1
0xaf8L,CMP             X21, X3
0xafcL,STR             X22, [X20,X19]
0xb00L,B.EQ            loc_B0C
0xb04L,MOV             X0, X21
0xb08L,BL              sub_B08
0xb0cL,MOV             X0, X22
0xb10L,BL              sub_B10
0xb14L,STR             X0, [X28,#8]
0xb18L,LDR             W4, [X24,#quotearg_buffer_restyled@PAGEOFF]
0xb1cL,MOV             X1, X22
0xb20L,MOV             X2, X27
0xb24L,MOV             X3, #0xFFFFFFFFFFFFFFFF
0xb28L,ADD             X5, X24, #quotearg_buffer_restyled@PAGEOFF
0xb2cL,MOV             X21, X0
0xb30L,BL              quotearg_buffer_restyled
0xb34L,STR             W25, [X23]
0xb38L,MOV             X0, X21
0xb3cL,LDP             X19, X20, [SP,#arg_10]
0xb40L,LDP             X21, X22, [SP,#arg_20]
0xb44L,LDP             X23, X24, [SP,#arg_30]
0xb48L,LDP             X25, X26, [SP,#arg_40]
0xb4cL,LDP             X27, X28, [SP,#arg_50]
0xb50L,LDP             X29, X30, [SP+arg_0],#0x70
0xb54L,RET
0xb60L,BL              sub_B60
0xb64L,MOV             X20, X0
0xb68L,STR             X0, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xb6cL,B               loc_A84
0xb70L,BL              sub_B70
0xb74L,STP             X29, X30, [SP,#-0x10+var_50]!
0xb78L,MOV             X29, SP
0xb7cL,STP             X19, X20, [SP,#0x50+var_40]
0xb80L,ADRP            X20, #quotearg_buffer_restyled@PAGE
0xb84L,STR             X27, [SP,#0x50+var_s0]
0xb88L,STP             X21, X22, [SP,#0x50+var_30]
0xb8cL,ADD             X21, X20, #quotearg_buffer_restyled@PAGEOFF
0xb90L,STP             X23, X24, [SP,#0x50+var_20]
0xb94L,STP             X25, X26, [SP,#0x50+var_10]
0xb98L,MOV             X26, X0
0xb9cL,BL              sub_B9C
0xba0L,MOV             X22, X0
0xba4L,LDR             W0, [X21,#8]
0xba8L,LDR             X19, [X20,#quotearg_buffer_restyled@PAGEOFF]
0xbacL,LDR             W24, [X22]
0xbb0L,MOV             W27, W24
0xbb4L,CBNZ            W0, loc_C00
0xbb8L,ADD             X0, X21, #0x10
0xbbcL,CMP             X19, X0
0xbc0L,B.EQ            loc_CA0
0xbc4L,MOV             X0, X19
0xbc8L,MOV             X1, #0x10
0xca0L,MOV             X1, #0x10
0xca4L,MOV             X0, #0
0xbccL,BL              sub_BCC
0xbd0L,MOV             X19, X0
0xbd4L,STR             X0, [X20,#quotearg_buffer_restyled@PAGEOFF]
0xbd8L,ADD             X20, X20, #quotearg_buffer_restyled@PAGEOFF
0xbdcL,MOV             X21, #1
0xbe0L,MOV             W1, #0
0xbe4L,LDR             W0, [X20,#8]
0xbe8L,SUB             X2, X21, X0
0xbecL,UBFM            X2, X2, #0x3C, #0x3B
0xbf0L,ADD             X0, X19, X0,LSL#4
0xbf4L,BL              sub_BF4
0xbf8L,LDR             W27, [X22]
0xbfcL,STR             W21, [X20,#8]
0xc00L,ADRP            X23, #quotearg_buffer_restyled@PAGE
0xc04L,LDR             X25, [X19]
0xc08L,LDR             X20, [X19,#8]
0xc0cL,ADD             X21, X23, #quotearg_buffer_restyled@PAGEOFF
0xc10L,MOV             X1, X25
0xc14L,MOV             X2, X26
0xc18L,LDR             W4, [X23,#quotearg_buffer_restyled@PAGEOFF]
0xc1cL,MOV             X0, X20
0xc20L,MOV             X3, #0xFFFFFFFFFFFFFFFF
0xc24L,MOV             X5, X21
0xc28L,BL              quotearg_buffer_restyled
0xc2cL,STR             W27, [X22]
0xc30L,CMP             X25, X0
0xc34L,B.HI            loc_C7C
0xc38L,ADD             X1, X21, #0x30
0xc3cL,ADD             X21, X0, #1
0xc40L,CMP             X20, X1
0xc44L,STR             X21, [X19]
0xc48L,B.EQ            loc_C54
0xc4cL,MOV             X0, X20
0xc50L,BL              sub_C50
0xc54L,MOV             X0, X21
0xc58L,BL              sub_C58
0xc5cL,STR             X0, [X19,#8]
0xc60L,LDR             W4, [X23,#quotearg_buffer_restyled@PAGEOFF]
0xc64L,MOV             X1, X21
0xc68L,MOV             X2, X26
0xc6cL,MOV             X3, #0xFFFFFFFFFFFFFFFF
0xc70L,ADD             X5, X23, #quotearg_buffer_restyled@PAGEOFF
0xc74L,MOV             X20, X0
0xc78L,BL              quotearg_buffer_restyled
0xc7cL,STR             W24, [X22]
0xc80L,MOV             X0, X20
0xc84L,LDP             X21, X22, [SP,#arg_20]
0xc88L,LDP             X19, X20, [SP,#arg_10]
0xc8cL,LDP             X23, X24, [SP,#arg_30]
0xc90L,LDP             X25, X26, [SP,#arg_40]
0xc94L,LDR             X27, [SP,#arg_50]
0xc98L,LDP             X29, X30, [SP+arg_0],#0x60
0xc9cL,RET
0xca8L,BL              sub_CA8
0xcacL,MOV             X19, X0
0xcb0L,LDP             X0, X1, [X21,#0x10]
0xcb4L,STR             X19, [X20,#quotearg_buffer_restyled@PAGEOFF]
0xcb8L,STP             X0, X1, [X19]
0xcbcL,B               loc_BD8
0xcc0L,STP             X29, X30, [SP,#-0x10+var_A0]!
0xcc4L,MOV             X29, SP
0xcc8L,STP             X19, X20, [SP,#0xA0+var_90]
0xcccL,STP             X21, X22, [SP,#0xA0+var_80]
0xcd0L,STR             W1, [X29,#0xA0+var_18]
0xcd4L,ADD             X1, X29, #0x8C
0xcd8L,STP             X23, X24, [SP,#0xA0+var_70]
0xcdcL,STP             X25, X26, [SP,#0xA0+var_60]
0xce0L,STP             X27, X28, [SP,#0xA0+var_50]
0xce4L,ADD             X3, X29, #0x88
0xce8L,MOV             W19, W0
0xcecL,STP             XZR, XZR, [X1]
0xcf0L,STP             XZR, XZR, [X1,#0x10]
0xcf4L,MOV             X25, X2
0xcf8L,ADRP            X21, #quotearg_buffer_restyled@PAGE
0xcfcL,LDP             X4, X5, [X3]
0xd00L,LDP             X0, X1, [X3,#0x10]
0xd04L,LDR             W2, [X29,#0xA0+var_s8]
0xd08L,ADD             X22, X21, #quotearg_buffer_restyled@PAGEOFF
0xd0cL,STR             W2, [X29,#0xA0+var_20]
0xd10L,STP             X4, X5, [X29,#0xA0+var_40]
0xd14L,STP             X0, X1, [X29,#0xA0+var_30]
0xd18L,BL              sub_D18
0xd1cL,LDR             X20, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xd20L,MOV             X23, X0
0xd24L,LDR             W24, [X0]
0xd28L,TBNZ            W19, #0x1F, sub_E50
0xd2cL,LDR             W0, [X22,#8]
0xd30L,MOV             W27, W24
0xd34L,CMP             W19, W0
0xd38L,B.CC            loc_D90
0xd3cL,ADD             X0, X22, #0x10
0xd40L,ADD             W26, W19, #1
0xd44L,CMP             X20, X0
0xd48L,MOV             X28, X26
0xd4cL,B.NE            loc_E38
0xd50L,UBFM            X1, X26, #0x3C, #0x3B
0xd54L,MOV             X0, #0
0xe38L,MOV             X0, X20
0xe3cL,UBFM            X1, X26, #0x3C, #0x3B
0xd58L,BL              sub_D58
0xd5cL,MOV             X20, X0
0xd60L,LDP             X0, X1, [X22,#0x10]
0xd64L,STR             X20, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xd68L,STP             X0, X1, [X20]
0xd6cL,ADD             X21, X21, #quotearg_buffer_restyled@PAGEOFF
0xd70L,MOV             W1, #0
0xd74L,LDR             W0, [X21,#8]
0xd78L,SUB             X2, X26, X0
0xd7cL,UBFM            X2, X2, #0x3C, #0x3B
0xd80L,ADD             X0, X20, X0,LSL#4
0xd84L,BL              sub_D84
0xd88L,LDR             W27, [X23]
0xd8cL,STR             W28, [X21,#8]
0xd90L,SBFM            X19, X19, #0x3C, #0x1F
0xd94L,LDR             W4, [X29,#0x60]
0xd98L,ADD             X26, X20, X19
0xd9cL,MOV             X2, X25
0xda0L,MOV             X3, #0xFFFFFFFFFFFFFFFF
0xda4L,ADD             X5, X29, #0x60
0xda8L,LDR             X22, [X20,X19]
0xdacL,LDR             X21, [X26,#8]
0xdb0L,MOV             X1, X22
0xdb4L,MOV             X0, X21
0xdb8L,BL              quotearg_buffer_restyled
0xdbcL,STR             W27, [X23]
0xdc0L,CMP             X22, X0
0xdc4L,B.HI            loc_E14
0xdc8L,ADD             X22, X0, #1
0xdccL,ADRP            X0, #quotearg_buffer_restyled@PAGE
0xdd0L,ADD             X0, X0, #quotearg_buffer_restyled@PAGEOFF
0xdd4L,STR             X22, [X20,X19]
0xdd8L,ADD             X0, X0, #0x30
0xddcL,CMP             X21, X0
0xde0L,B.EQ            loc_DEC
0xde4L,MOV             X0, X21
0xde8L,BL              sub_DE8
0xdecL,MOV             X0, X22
0xdf0L,BL              sub_DF0
0xdf4L,STR             X0, [X26,#8]
0xdf8L,LDR             W4, [X29,#0x60]
0xdfcL,MOV             X1, X22
0xe00L,MOV             X2, X25
0xe04L,MOV             X3, #0xFFFFFFFFFFFFFFFF
0xe08L,ADD             X5, X29, #0x60
0xe0cL,MOV             X21, X0
0xe10L,BL              quotearg_buffer_restyled
0xe14L,STR             W24, [X23]
0xe18L,MOV             X0, X21
0xe1cL,LDP             X19, X20, [SP,#arg_10]
0xe20L,LDP             X21, X22, [SP,#arg_20]
0xe24L,LDP             X23, X24, [SP,#arg_30]
0xe28L,LDP             X25, X26, [SP,#arg_40]
0xe2cL,LDP             X27, X28, [SP,#arg_50]
0xe30L,LDP             X29, X30, [SP+arg_0],#0xB0
0xe34L,RET
0xe40L,BL              sub_E40
0xe44L,MOV             X20, X0
0xe48L,STR             X0, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xe4cL,B               loc_D6C
0xe50L,BL              sub_E50
0xe54L,STP             X29, X30, [SP,#-0x10+var_A0]!
0xe58L,MOV             X29, SP
0xe5cL,STP             X19, X20, [SP,#0xA0+var_90]
0xe60L,STP             X21, X22, [SP,#0xA0+var_80]
0xe64L,STR             W1, [X29,#0xA0+var_18]
0xe68L,ADD             X1, X29, #0x8C
0xe6cL,STP             X23, X24, [SP,#0xA0+var_70]
0xe70L,STP             X25, X26, [SP,#0xA0+var_60]
0xe74L,STP             X27, X28, [SP,#0xA0+var_50]
0xe78L,ADD             X4, X29, #0x88
0xe7cL,MOV             W19, W0
0xe80L,STP             XZR, XZR, [X1]
0xe84L,STP             XZR, XZR, [X1,#0x10]
0xe88L,MOV             X25, X2
0xe8cL,MOV             X26, X3
0xe90L,LDP             X0, X1, [X4]
0xe94L,LDP             X2, X3, [X4,#0x10]
0xe98L,LDR             W4, [X29,#0xA0+var_s8]
0xe9cL,ADRP            X21, #quotearg_buffer_restyled@PAGE
0xea0L,STR             W4, [X29,#0xA0+var_20]
0xea4L,ADD             X22, X21, #quotearg_buffer_restyled@PAGEOFF
0xea8L,STP             X0, X1, [X29,#0xA0+var_40]
0xeacL,STP             X2, X3, [X29,#0xA0+var_30]
0xeb0L,BL              sub_EB0
0xeb4L,LDR             X20, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xeb8L,MOV             X23, X0
0xebcL,LDR             W24, [X0]
0xec0L,TBNZ            W19, #0x1F, sub_FE8
0xec4L,LDR             W0, [X22,#8]
0xec8L,MOV             W28, W24
0xeccL,CMP             W19, W0
0xed0L,B.CC            loc_F28
0xed4L,ADD             X0, X22, #0x10
0xed8L,ADD             W28, W19, #1
0xedcL,CMP             X20, X0
0xee0L,MOV             X27, X28
0xee4L,B.NE            loc_FD0
0xee8L,UBFM            X1, X28, #0x3C, #0x3B
0xeecL,MOV             X0, #0
0xfd0L,MOV             X0, X20
0xfd4L,UBFM            X1, X28, #0x3C, #0x3B
0xef0L,BL              sub_EF0
0xef4L,MOV             X20, X0
0xef8L,LDP             X0, X1, [X22,#0x10]
0xefcL,STR             X20, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xf00L,STP             X0, X1, [X20]
0xf04L,ADD             X21, X21, #quotearg_buffer_restyled@PAGEOFF
0xf08L,MOV             W1, #0
0xf0cL,LDR             W0, [X21,#8]
0xf10L,SUB             X2, X28, X0
0xf14L,UBFM            X2, X2, #0x3C, #0x3B
0xf18L,ADD             X0, X20, X0,LSL#4
0xf1cL,BL              sub_F1C
0xf20L,LDR             W28, [X23]
0xf24L,STR             W27, [X21,#8]
0xf28L,SBFM            X19, X19, #0x3C, #0x1F
0xf2cL,LDR             W4, [X29,#0x60]
0xf30L,ADD             X27, X20, X19
0xf34L,MOV             X2, X25
0xf38L,MOV             X3, X26
0xf3cL,ADD             X5, X29, #0x60
0xf40L,LDR             X22, [X20,X19]
0xf44L,LDR             X21, [X27,#8]
0xf48L,MOV             X1, X22
0xf4cL,MOV             X0, X21
0xf50L,BL              quotearg_buffer_restyled
0xf54L,STR             W28, [X23]
0xf58L,CMP             X22, X0
0xf5cL,B.HI            loc_FAC
0xf60L,ADD             X22, X0, #1
0xf64L,ADRP            X0, #quotearg_buffer_restyled@PAGE
0xf68L,ADD             X0, X0, #quotearg_buffer_restyled@PAGEOFF
0xf6cL,STR             X22, [X20,X19]
0xf70L,ADD             X0, X0, #0x30
0xf74L,CMP             X21, X0
0xf78L,B.EQ            loc_F84
0xf7cL,MOV             X0, X21
0xf80L,BL              sub_F80
0xf84L,MOV             X0, X22
0xf88L,BL              sub_F88
0xf8cL,STR             X0, [X27,#8]
0xf90L,LDR             W4, [X29,#0x60]
0xf94L,MOV             X1, X22
0xf98L,MOV             X2, X25
0xf9cL,MOV             X3, X26
0xfa0L,ADD             X5, X29, #0x60
0xfa4L,MOV             X21, X0
0xfa8L,BL              quotearg_buffer_restyled
0xfacL,STR             W24, [X23]
0xfb0L,MOV             X0, X21
0xfb4L,LDP             X19, X20, [SP,#arg_10]
0xfb8L,LDP             X21, X22, [SP,#arg_20]
0xfbcL,LDP             X23, X24, [SP,#arg_30]
0xfc0L,LDP             X25, X26, [SP,#arg_40]
0xfc4L,LDP             X27, X28, [SP,#arg_50]
0xfc8L,LDP             X29, X30, [SP+arg_0],#0xB0
0xfccL,RET
0xfd8L,BL              sub_FD8
0xfdcL,MOV             X20, X0
0xfe0L,STR             X0, [X21,#quotearg_buffer_restyled@PAGEOFF]
0xfe4L,B               loc_F04
0xfe8L,BL              sub_FE8
0xfecL,STP             X29, X30, [SP,#-0x10+var_90]!
0xff0L,MOV             X29, SP
0xff4L,STP             X19, X20, [SP,#0x90+var_80]
0xff8L,STP             X21, X22, [SP,#0x90+var_70]
0xffcL,STR             W0, [X29,#0x90+var_18]
0x1000L,ADD             X0, X29, #0x7C
0x1004L,STP             X23, X24, [SP,#0x90+var_60]
0x1008L,STR             X25, [SP,#0x90+var_50]
0x100cL,ADD             X3, X29, #0x78
0x1010L,STP             XZR, XZR, [X0]
