0x0L,push    rbp
0xc60L,neg     rax
0xc63L,mov     rdx, rax
0xc66L,mov     rax, [rbp+var_598]
0xc6dL,mov     [rax+48h], rdx
0xc71L,jmp     loc_18A5
0xc76L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 29
0xc7aL,sub     rax, 70h
0xc7eL,mov     rdx, [rax+8]
0xc82L,mov     rax, [rbp+var_598]
0xc89L,mov     [rax+48h], rdx
0xc8dL,mov     rax, [rbp+var_50]
0xc91L,sub     rax, 38h
0xc95L,mov     rdx, [rax]
0xc98L,mov     rax, [rbp+var_598]
0xc9fL,mov     [rax+40h], rdx
0xca3L,mov     rax, [rbp+var_50]
0xca7L,mov     rax, [rax+8]
0xcabL,neg     rax
0xcaeL,mov     rdx, rax
0xcb1L,mov     rax, [rbp+var_598]
0xcb8L,mov     [rax+30h], rdx
0xcbcL,mov     rax, [rbp+var_50]
0xcc0L,mov     rdx, [rax+10h]
0xcc4L,mov     rax, [rbp+var_598]
0xccbL,mov     [rax+38h], rdx
0xccfL,jmp     loc_18A5
0xcd4L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 30
0xcd8L,sub     rax, 70h
0xcdcL,mov     rdx, [rax]
0xcdfL,mov     rax, [rbp+var_598]
0xce6L,mov     [rax+40h], rdx
0xceaL,mov     rax, [rbp+var_50]
0xceeL,sub     rax, 38h
0xcf2L,mov     rax, [rax+8]
0xcf6L,neg     rax
0xcf9L,mov     rdx, rax
0xcfcL,mov     rax, [rbp+var_598]
0xd03L,mov     [rax+48h], rdx
0xd07L,mov     rax, [rbp+var_50]
0xd0bL,mov     rax, [rax+8]
0xd0fL,neg     rax
0xd12L,mov     rdx, rax
0xd15L,mov     rax, [rbp+var_598]
0xd1cL,mov     [rax+30h], rdx
0xd20L,mov     rax, [rbp+var_50]
0xd24L,mov     rdx, [rax+10h]
0xd28L,mov     rax, [rbp+var_598]
0xd2fL,mov     [rax+38h], rdx
0xd33L,jmp     loc_18A5
0xd38L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 31
0xd3cL,sub     rax, 38h
0xd40L,mov     rdx, [rax]
0xd43L,mov     rax, [rbp+var_598]
0xd4aL,mov     [rax+40h], rdx
0xd4eL,mov     rax, [rbp+var_50]
0xd52L,mov     rdx, [rax+8]
0xd56L,mov     rax, [rbp+var_598]
0xd5dL,mov     [rax+48h], rdx
0xd61L,jmp     loc_18A5
0xd66L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 32
0xd6aL,sub     rax, 0A8h
0xd70L,mov     rdx, [rax]
0xd73L,mov     rax, [rbp+var_598]
0xd7aL,mov     [rax+40h], rdx
0xd7eL,mov     rax, [rbp+var_50]
0xd82L,sub     rax, 70h
0xd86L,mov     rdx, [rax+8]
0xd8aL,mov     rax, [rbp+var_598]
0xd91L,mov     [rax+48h], rdx
0xd95L,mov     rax, [rbp+var_598]
0xd9cL,mov     rdx, [rbp+var_50]
0xda0L,mov     rcx, [rdx]
0xda3L,mov     [rax+28h], rcx
0xda7L,mov     rcx, [rdx+8]
0xdabL,mov     [rax+30h], rcx
0xdafL,mov     rdx, [rdx+10h]
0xdb3L,mov     [rax+38h], rdx
0xdb7L,jmp     loc_18A5
0xdbcL,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 33
0xdc0L,sub     rax, 38h
0xdc4L,mov     rdx, [rax+8]
0xdc8L,mov     rax, [rbp+var_598]
0xdcfL,mov     [rax+48h], rdx
0xdd3L,mov     rax, [rbp+var_50]
0xdd7L,mov     rdx, [rax]
0xddaL,mov     rax, [rbp+var_598]
0xde1L,mov     [rax+40h], rdx
0xde5L,jmp     loc_18A5
0xdeaL,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 34
0xdeeL,sub     rax, 70h
0xdf2L,mov     rdx, [rax+8]
0xdf6L,mov     rax, [rbp+var_598]
0xdfdL,mov     [rax+48h], rdx
0xe01L,mov     rax, [rbp+var_50]
0xe05L,sub     rax, 38h
0xe09L,mov     rdx, [rax]
0xe0cL,mov     rax, [rbp+var_598]
0xe13L,mov     [rax+40h], rdx
0xe17L,mov     rax, [rbp+var_598]
0xe1eL,mov     rdx, [rbp+var_50]
0xe22L,mov     rcx, [rdx]
0xe25L,mov     [rax+28h], rcx
0xe29L,mov     rcx, [rdx+8]
0xe2dL,mov     [rax+30h], rcx
0xe31L,mov     rdx, [rdx+10h]
0xe35L,mov     [rax+38h], rdx
0xe39L,jmp     loc_18A5
0xe3eL,mov     rax, [rbp+var_598]; jumptable 0000000000000488 case 35
0xe45L,mov     rdx, [rax+0A0h]
0xe4cL,mov     rax, [rbp+var_50]
0xe50L,sub     rax, 38h
0xe54L,mov     rax, [rax+30h]
0xe58L,sub     rdx, rax
0xe5bL,mov     rax, [rbp+var_598]
0xe62L,mov     [rax+0A0h], rdx
0xe69L,mov     rax, [rbp+var_598]
0xe70L,mov     rdx, [rax+98h]
0xe77L,mov     rax, [rbp+var_50]
0xe7bL,sub     rax, 38h
0xe7fL,mov     rax, [rax+28h]
0xe83L,sub     rdx, rax
0xe86L,mov     rax, [rbp+var_598]
0xe8dL,mov     [rax+98h], rdx
0xe94L,mov     rax, [rbp+var_598]
0xe9bL,mov     rdx, [rax+90h]
0xea2L,mov     rax, [rbp+var_50]
0xea6L,sub     rax, 38h
0xeaaL,mov     rax, [rax+20h]
0xeaeL,sub     rdx, rax
0xeb1L,mov     rax, [rbp+var_598]
0xeb8L,mov     [rax+90h], rdx
0xebfL,mov     rax, [rbp+var_598]
0xec6L,mov     rdx, [rax+88h]
0xecdL,mov     rax, [rbp+var_50]
0xed1L,sub     rax, 38h
0xed5L,mov     rax, [rax+18h]
0xed9L,sub     rdx, rax
0xedcL,mov     rax, [rbp+var_598]
0xee3L,mov     [rax+88h], rdx
0xeeaL,mov     rax, [rbp+var_598]
0xef1L,mov     rdx, [rax+80h]
0xef8L,mov     rax, [rbp+var_50]
0xefcL,sub     rax, 38h
0xf00L,mov     rax, [rax+10h]
0xf04L,sub     rdx, rax
0xf07L,mov     rax, [rbp+var_598]
0xf0eL,mov     [rax+80h], rdx
0xf15L,mov     rax, [rbp+var_598]
0xf1cL,mov     rdx, [rax+78h]
0xf20L,mov     rax, [rbp+var_50]
0xf24L,sub     rax, 38h
0xf28L,mov     rax, [rax+8]
0xf2cL,sub     rdx, rax
0xf2fL,mov     rax, [rbp+var_598]
0xf36L,mov     [rax+78h], rdx
0xf3aL,mov     rax, [rbp+var_598]
0xf41L,mov     rdx, [rax+70h]
0xf45L,mov     rax, [rbp+var_50]
0xf49L,sub     rax, 38h
0xf4dL,mov     rax, [rax]
0xf50L,sub     rdx, rax
0xf53L,mov     rax, [rbp+var_598]
0xf5aL,mov     [rax+70h], rdx
0xf5eL,jmp     loc_18A5
0xf63L,mov     rax, [rbp+var_598]; jumptable 0000000000000488 case 36
0xf6aL,mov     rdx, [rax+0A0h]
0xf71L,mov     rax, [rbp+var_50]
0xf75L,mov     rax, [rax+30h]
0xf79L,add     rdx, rax
0xf7cL,mov     rax, [rbp+var_598]
0xf83L,mov     [rax+0A0h], rdx
0xf8aL,mov     rax, [rbp+var_598]
0xf91L,mov     rdx, [rax+98h]
0xf98L,mov     rax, [rbp+var_50]
0xf9cL,mov     rax, [rax+28h]
0xfa0L,add     rdx, rax
0xfa3L,mov     rax, [rbp+var_598]
0xfaaL,mov     [rax+98h], rdx
0xfb1L,mov     rax, [rbp+var_598]
0xfb8L,mov     rdx, [rax+90h]
0xfbfL,mov     rax, [rbp+var_50]
0xfc3L,mov     rax, [rax+20h]
0xfc7L,add     rdx, rax
0xfcaL,mov     rax, [rbp+var_598]
0xfd1L,mov     [rax+90h], rdx
0xfd8L,mov     rax, [rbp+var_598]
0xfdfL,mov     rdx, [rax+88h]
0xfe6L,mov     rax, [rbp+var_50]
0xfeaL,mov     rax, [rax+18h]
0xfeeL,add     rdx, rax
0xff1L,mov     rax, [rbp+var_598]
0xff8L,mov     [rax+88h], rdx
0xfffL,mov     rax, [rbp+var_598]
0x1006L,mov     rdx, [rax+80h]
0x100dL,mov     rax, [rbp+var_50]
0x1011L,mov     rax, [rax+10h]
0x1015L,add     rdx, rax
0x1018L,mov     rax, [rbp+var_598]
0x101fL,mov     [rax+80h], rdx
0x1026L,mov     rax, [rbp+var_598]
0x102dL,mov     rdx, [rax+78h]
0x1031L,mov     rax, [rbp+var_50]
0x1035L,mov     rax, [rax+8]
0x1039L,add     rdx, rax
0x103cL,mov     rax, [rbp+var_598]
0x1043L,mov     [rax+78h], rdx
0x1047L,mov     rax, [rbp+var_598]
0x104eL,mov     rdx, [rax+70h]
0x1052L,mov     rax, [rbp+var_50]
0x1056L,mov     rax, [rax]
0x1059L,add     rdx, rax
0x105cL,mov     rax, [rbp+var_598]
0x1063L,mov     [rax+70h], rdx
0x1067L,jmp     loc_18A5
0x106cL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 37
0x1073L,mov     eax, 0
0x1078L,mov     ecx, 7
0x107dL,mov     rdi, rdx
0x1080L,rep stosq
0x1083L,mov     rax, [rbp+var_50]
0x1087L,sub     rax, 38h
0x108bL,mov     rax, [rax]
0x108eL,mov     [rbp+var_590], rax
0x1095L,jmp     loc_18A5
0x109aL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 38
0x10a1L,mov     eax, 0
0x10a6L,mov     ecx, 7
0x10abL,mov     rdi, rdx
0x10aeL,rep stosq
0x10b1L,mov     rax, [rbp+var_50]
0x10b5L,sub     rax, 38h
0x10b9L,mov     rax, [rax+8]
0x10bdL,mov     [rbp+var_590], rax
0x10c4L,jmp     loc_18A5
0x10c9L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 39
0x10d0L,mov     eax, 0
0x10d5L,mov     ecx, 7
0x10daL,mov     rdi, rdx
0x10ddL,rep stosq
0x10e0L,mov     [rbp+var_590], 1
0x10ebL,jmp     loc_18A5
0x10f0L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 40
0x10f7L,mov     eax, 0
0x10fcL,mov     ecx, 7
0x1101L,mov     rdi, rdx
0x1104L,rep stosq
0x1107L,mov     rax, [rbp+var_50]
0x110bL,sub     rax, 38h
0x110fL,mov     rax, [rax]
0x1112L,mov     [rbp+var_588], rax
0x1119L,jmp     loc_18A5
0x111eL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 41
0x1125L,mov     eax, 0
0x112aL,mov     ecx, 7
0x112fL,mov     rdi, rdx
0x1132L,rep stosq
0x1135L,mov     rax, [rbp+var_50]
0x1139L,sub     rax, 38h
0x113dL,mov     rax, [rax+8]
0x1141L,mov     [rbp+var_588], rax
0x1148L,jmp     loc_18A5
0x114dL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 42
0x1154L,mov     eax, 0
0x1159L,mov     ecx, 7
0x115eL,mov     rdi, rdx
0x1161L,rep stosq
0x1164L,mov     [rbp+var_588], 1
0x116fL,jmp     loc_18A5
0x1174L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 43
0x117bL,mov     eax, 0
0x1180L,mov     ecx, 7
0x1185L,mov     rdi, rdx
0x1188L,rep stosq
0x118bL,mov     rax, [rbp+var_50]
0x118fL,sub     rax, 38h
0x1193L,mov     rdx, [rax]
0x1196L,mov     rax, [rbp+var_50]
0x119aL,mov     rax, [rax]
0x119dL,imul    rax, rdx
0x11a1L,mov     [rbp+var_580], rax
0x11a8L,jmp     loc_18A5
0x11adL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 44
0x11b4L,mov     eax, 0
0x11b9L,mov     ecx, 7
0x11beL,mov     rdi, rdx
0x11c1L,rep stosq
0x11c4L,mov     rax, [rbp+var_50]
0x11c8L,sub     rax, 38h
0x11ccL,mov     rdx, [rax+8]
0x11d0L,mov     rax, [rbp+var_50]
0x11d4L,mov     rax, [rax]
0x11d7L,imul    rax, rdx
0x11dbL,mov     [rbp+var_580], rax
0x11e2L,jmp     loc_18A5
0x11e7L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 45
0x11eeL,mov     eax, 0
0x11f3L,mov     ecx, 7
0x11f8L,mov     rdi, rdx
0x11fbL,rep stosq
0x11feL,mov     rax, [rbp+var_50]
0x1202L,mov     rax, [rax]
0x1205L,mov     [rbp+var_580], rax
0x120cL,jmp     loc_18A5
0x1211L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 46
0x1218L,mov     eax, 0
0x121dL,mov     ecx, 7
0x1222L,mov     rdi, rdx
0x1225L,rep stosq
0x1228L,mov     rax, [rbp+var_50]
0x122cL,sub     rax, 38h
0x1230L,mov     rax, [rax]
0x1233L,mov     [rbp+var_578], rax
0x123aL,jmp     loc_18A5
0x123fL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 47
0x1246L,mov     eax, 0
0x124bL,mov     ecx, 7
0x1250L,mov     rdi, rdx
0x1253L,rep stosq
0x1256L,mov     rax, [rbp+var_50]
0x125aL,sub     rax, 38h
0x125eL,mov     rax, [rax+8]
0x1262L,mov     [rbp+var_578], rax
0x1269L,jmp     loc_18A5
0x126eL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 48
0x1275L,mov     eax, 0
0x127aL,mov     ecx, 7
0x127fL,mov     rdi, rdx
0x1282L,rep stosq
0x1285L,mov     [rbp+var_578], 1
0x1290L,jmp     loc_18A5
0x1295L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 49
0x129cL,mov     eax, 0
0x12a1L,mov     ecx, 7
0x12a6L,mov     rdi, rdx
0x12a9L,rep stosq
0x12acL,mov     rax, [rbp+var_50]
0x12b0L,sub     rax, 38h
0x12b4L,mov     rax, [rax]
0x12b7L,mov     [rbp+var_570], rax
0x12beL,jmp     loc_18A5
0x12c3L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 50
0x12caL,mov     eax, 0
0x12cfL,mov     ecx, 7
0x12d4L,mov     rdi, rdx
0x12d7L,rep stosq
0x12daL,mov     rax, [rbp+var_50]
0x12deL,sub     rax, 38h
0x12e2L,mov     rax, [rax+8]
0x12e6L,mov     [rbp+var_570], rax
0x12edL,jmp     loc_18A5
0x12f2L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 51
0x12f9L,mov     eax, 0
0x12feL,mov     ecx, 7
0x1303L,mov     rdi, rdx
0x1306L,rep stosq
0x1309L,mov     [rbp+var_570], 1
0x1314L,jmp     loc_18A5
0x1319L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 52
0x1320L,mov     eax, 0
0x1325L,mov     ecx, 7
0x132aL,mov     rdi, rdx
0x132dL,rep stosq
0x1330L,mov     rax, [rbp+var_50]
0x1334L,sub     rax, 38h
0x1338L,mov     rax, [rax]
0x133bL,mov     [rbp+var_568], rax
0x1342L,jmp     loc_18A5
0x1347L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 53
0x134eL,mov     eax, 0
0x1353L,mov     ecx, 7
0x1358L,mov     rdi, rdx
0x135bL,rep stosq
0x135eL,mov     rax, [rbp+var_50]
0x1362L,sub     rax, 38h
0x1366L,mov     rax, [rax+8]
0x136aL,mov     [rbp+var_568], rax
0x1371L,jmp     loc_18A5
0x1376L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 54
0x137dL,mov     eax, 0
0x1382L,mov     ecx, 7
0x1387L,mov     rdi, rdx
0x138aL,rep stosq
0x138dL,mov     rax, [rbp+var_50]
0x1391L,sub     rax, 38h
0x1395L,mov     rax, [rax]
0x1398L,mov     [rbp+var_568], rax
0x139fL,mov     rax, [rbp+var_50]
0x13a3L,sub     rax, 38h
0x13a7L,mov     rax, [rax+8]
0x13abL,mov     [rbp+var_560], rax
0x13b2L,jmp     loc_18A5
0x13b7L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 55
0x13beL,mov     eax, 0
0x13c3L,mov     ecx, 7
0x13c8L,mov     rdi, rdx
0x13cbL,rep stosq
0x13ceL,mov     rax, [rbp+var_50]
0x13d2L,sub     rax, 38h
0x13d6L,mov     rax, [rax]
0x13d9L,mov     [rbp+var_568], rax
0x13e0L,mov     rax, [rbp+var_50]
0x13e4L,sub     rax, 38h
0x13e8L,mov     rax, [rax+8]
0x13ecL,mov     [rbp+var_560], rax
0x13f3L,jmp     loc_18A5
0x13f8L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 56
0x13ffL,mov     eax, 0
0x1404L,mov     ecx, 7
0x1409L,mov     rdi, rdx
0x140cL,rep stosq
0x140fL,mov     [rbp+var_568], 1
0x141aL,jmp     loc_18A5
0x141fL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 58
0x1426L,mov     eax, 0
0x142bL,mov     ecx, 7
0x1430L,mov     rdi, rdx
0x1433L,rep stosq
0x1436L,mov     rax, [rbp+var_50]
0x143aL,sub     rax, 38h
0x143eL,mov     rax, [rax+8]
0x1442L,mov     [rbp+var_590], rax
0x1449L,jmp     loc_18A5
0x144eL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 59
0x1455L,mov     eax, 0
0x145aL,mov     ecx, 7
0x145fL,mov     rdi, rdx
0x1462L,rep stosq
0x1465L,mov     rax, [rbp+var_50]
0x1469L,sub     rax, 38h
0x146dL,mov     rax, [rax+8]
0x1471L,mov     [rbp+var_588], rax
0x1478L,jmp     loc_18A5
0x147dL,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 60
0x1484L,mov     eax, 0
0x1489L,mov     ecx, 7
0x148eL,mov     rdi, rdx
0x1491L,rep stosq
0x1494L,mov     rax, [rbp+var_50]
0x1498L,sub     rax, 38h
0x149cL,mov     rdx, [rax+8]
0x14a0L,mov     rax, [rbp+var_50]
0x14a4L,mov     rax, [rax]
0x14a7L,imul    rax, rdx
0x14abL,mov     [rbp+var_580], rax
0x14b2L,jmp     loc_18A5
0x14b7L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 61
0x14beL,mov     eax, 0
0x14c3L,mov     ecx, 7
0x14c8L,mov     rdi, rdx
0x14cbL,rep stosq
0x14ceL,mov     rax, [rbp+var_50]
0x14d2L,sub     rax, 38h
0x14d6L,mov     rax, [rax+8]
0x14daL,mov     [rbp+var_578], rax
0x14e1L,jmp     loc_18A5
0x14e6L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 62
0x14edL,mov     eax, 0
0x14f2L,mov     ecx, 7
0x14f7L,mov     rdi, rdx
0x14faL,rep stosq
0x14fdL,mov     rax, [rbp+var_50]
0x1501L,sub     rax, 38h
0x1505L,mov     rax, [rax+8]
0x1509L,mov     [rbp+var_570], rax
0x1510L,jmp     loc_18A5
0x1515L,lea     rdx, [rbp+var_590]; jumptable 0000000000000488 case 63
0x151cL,mov     eax, 0
0x1521L,mov     ecx, 7
0x1526L,mov     rdi, rdx
0x1529L,rep stosq
0x152cL,mov     rax, [rbp+var_50]
0x1530L,sub     rax, 38h
0x1534L,mov     rax, [rax+8]
0x1538L,mov     [rbp+var_568], rax
0x153fL,jmp     loc_18A5
0x1544L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 67
0x1548L,mov     rax, [rax+8]
0x154cL,mov     [rbp+var_590], rax
0x1553L,mov     [rbp+var_588], 0
0x155eL,jmp     loc_18A5
0x1563L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 69
0x1567L,mov     rax, [rax+8]
0x156bL,mov     [rbp+var_590], rax
0x1572L,mov     [rbp+var_588], 0
0x157dL,jmp     loc_18A5
0x1582L,mov     rax, [rbp+var_598]; jumptable 0000000000000488 case 70
0x1589L,mov     rax, [rax+0B0h]
0x1590L,test    rax, rax
0x1593L,jz      short loc_1602
0x1595L,mov     rax, [rbp+var_598]
0x159cL,mov     rax, [rax+38h]
0x15a0L,test    rax, rax
0x15a3L,jnz     short loc_1602
0x15a5L,mov     rax, [rbp+var_598]
0x15acL,movzx   eax, byte ptr [rax+0A9h]
0x15b3L,xor     eax, 1
0x15b6L,test    al, al
0x15b8L,jz      short loc_1602
0x15baL,mov     rax, [rbp+var_598]
0x15c1L,mov     rax, [rax+0D0h]
0x15c8L,test    rax, rax
0x15cbL,jnz     short loc_15DB
0x15cdL,mov     rax, [rbp+var_50]
0x15d1L,mov     rax, [rax+10h]
0x15d5L,cmp     rax, 2
0x15d9L,jbe     short loc_1602
0x15dbL,mov     rax, [rbp+var_598]
0x15e2L,mov     rdx, [rbp+var_50]
0x15e6L,mov     rcx, [rdx]
0x15e9L,mov     [rax+28h], rcx
0x15edL,mov     rcx, [rdx+8]
0x15f1L,mov     [rax+30h], rcx
0x15f5L,mov     rdx, [rdx+10h]
0x15f9L,mov     [rax+38h], rdx
0x15fdL,jmp     loc_18A5
0x1602L,mov     rax, [rbp+var_50]
0x1606L,mov     rax, [rax+10h]
0x160aL,cmp     rax, 4
0x160eL,jbe     loc_1757
0x1614L,mov     rax, [rbp+var_598]
0x161bL,mov     rax, [rax+0B0h]
0x1622L,lea     rdx, [rax+1]
0x1626L,mov     rax, [rbp+var_598]
0x162dL,mov     [rax+0B0h], rdx
0x1634L,mov     rax, [rbp+var_50]
0x1638L,mov     rcx, [rax+8]
0x163cL,mov     rdx, 0A3D70A3D70A3D70Bh
0x1646L,mov     rax, rcx
0x1649L,imul    rdx
0x164cL,lea     rax, [rdx+rcx]
0x1650L,sar     rax, 6
0x1654L,mov     rdx, rax
0x1657L,mov     rax, rcx
0x165aL,sar     rax, 3Fh
0x165eL,sub     rdx, rax
0x1661L,mov     rax, rdx
0x1664L,shl     rax, 2
0x1668L,add     rax, rdx
0x166bL,lea     rdx, ds:0[rax*4]
0x1673L,add     rax, rdx
0x1676L,shl     rax, 2
0x167aL,sub     rcx, rax
0x167dL,mov     rdx, rcx
0x1680L,mov     rax, [rbp+var_598]
0x1687L,mov     [rax+48h], rdx
0x168bL,mov     rax, [rbp+var_50]
0x168fL,mov     rcx, [rax+8]
0x1693L,mov     rdx, 0A3D70A3D70A3D70Bh
0x169dL,mov     rax, rcx
0x16a0L,imul    rdx
0x16a3L,lea     rax, [rdx+rcx]
0x16a7L,sar     rax, 6
0x16abL,mov     rdx, rax
0x16aeL,mov     rax, rcx
0x16b1L,sar     rax, 3Fh
0x16b5L,mov     rcx, rdx
0x16b8L,sub     rcx, rax
0x16bbL,mov     rdx, 0A3D70A3D70A3D70Bh
0x16c5L,mov     rax, rcx
0x16c8L,imul    rdx
0x16cbL,lea     rax, [rdx+rcx]
0x16cfL,sar     rax, 6
0x16d3L,mov     rdx, rax
0x16d6L,mov     rax, rcx
0x16d9L,sar     rax, 3Fh
0x16ddL,sub     rdx, rax
0x16e0L,mov     rax, rdx
0x16e3L,shl     rax, 2
0x16e7L,add     rax, rdx
0x16eaL,lea     rdx, ds:0[rax*4]
0x16f2L,add     rax, rdx
0x16f5L,shl     rax, 2
0x16f9L,sub     rcx, rax
0x16fcL,mov     rdx, rcx
0x16ffL,mov     rax, [rbp+var_598]
0x1706L,mov     [rax+40h], rdx
0x170aL,mov     rax, [rbp+var_50]
0x170eL,mov     rcx, [rax+8]
0x1712L,mov     rdx, 346DC5D63886594Bh
0x171cL,mov     rax, rcx
0x171fL,imul    rdx
0x1722L,sar     rdx, 0Bh
0x1726L,mov     rax, rcx
0x1729L,sar     rax, 3Fh
0x172dL,sub     rdx, rax
0x1730L,mov     rax, [rbp+var_598]
0x1737L,mov     [rax+30h], rdx
0x173bL,mov     rax, [rbp+var_50]
0x173fL,mov     rax, [rax+10h]
0x1743L,lea     rdx, [rax-4]
0x1747L,mov     rax, [rbp+var_598]
0x174eL,mov     [rax+38h], rdx
0x1752L,jmp     loc_18A5
0x1757L,mov     rax, [rbp+var_598]
0x175eL,mov     rax, [rax+0D0h]
0x1765L,lea     rdx, [rax+1]
0x1769L,mov     rax, [rbp+var_598]
0x1770L,mov     [rax+0D0h], rdx
0x1777L,mov     rax, [rbp+var_50]
0x177bL,mov     rax, [rax+10h]
0x177fL,cmp     rax, 2
0x1783L,ja      short loc_17AC
0x1785L,mov     rax, [rbp+var_50]
0x1789L,mov     rdx, [rax+8]
0x178dL,mov     rax, [rbp+var_598]
0x1794L,mov     [rax+50h], rdx
0x1798L,mov     rax, [rbp+var_598]
0x179fL,mov     qword ptr [rax+58h], 0
0x17a7L,jmp     loc_183B
0x17acL,mov     rax, [rbp+var_50]
0x17b0L,mov     rcx, [rax+8]
0x17b4L,mov     rdx, 0A3D70A3D70A3D70Bh
0x17beL,mov     rax, rcx
0x17c1L,imul    rdx
0x17c4L,lea     rax, [rdx+rcx]
0x17c8L,sar     rax, 6
0x17ccL,mov     rdx, rax
0x17cfL,mov     rax, rcx
0x17d2L,sar     rax, 3Fh
0x17d6L,sub     rdx, rax
0x17d9L,mov     rax, [rbp+var_598]
0x17e0L,mov     [rax+50h], rdx
0x17e4L,mov     rax, [rbp+var_50]
0x17e8L,mov     rcx, [rax+8]
0x17ecL,mov     rdx, 0A3D70A3D70A3D70Bh
0x17f6L,mov     rax, rcx
0x17f9L,imul    rdx
0x17fcL,lea     rax, [rdx+rcx]
0x1800L,sar     rax, 6
0x1804L,mov     rdx, rax
0x1807L,mov     rax, rcx
0x180aL,sar     rax, 3Fh
0x180eL,sub     rdx, rax
0x1811L,mov     rax, rdx
0x1814L,shl     rax, 2
0x1818L,add     rax, rdx
0x181bL,lea     rdx, ds:0[rax*4]
0x1823L,add     rax, rdx
0x1826L,shl     rax, 2
0x182aL,sub     rcx, rax
0x182dL,mov     rdx, rcx
0x1830L,mov     rax, [rbp+var_598]
0x1837L,mov     [rax+58h], rdx
0x183bL,mov     rax, [rbp+var_598]
0x1842L,mov     qword ptr [rax+60h], 0
0x184aL,mov     rax, [rbp+var_598]
0x1851L,mov     qword ptr [rax+68h], 0
0x1859L,mov     rax, [rbp+var_598]
0x1860L,mov     dword ptr [rax+20h], 2
0x1867L,jmp     short loc_18A5
0x1869L,mov     [rbp+var_590], 0FFFFFFFFFFFFFFFFh; jumptable 0000000000000488 case 71
0x1874L,jmp     short loc_18A5
0x1876L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 72
0x187aL,mov     rax, [rax+8]
0x187eL,mov     [rbp+var_590], rax
0x1885L,jmp     short loc_18A5
0x1887L,mov     [rbp+var_590], 2; jumptable 0000000000000488 case 73
0x1892L,jmp     short loc_18A5
0x1894L,mov     rax, [rbp+var_50]; jumptable 0000000000000488 case 74
0x1898L,mov     rax, [rax]
0x189bL,mov     [rbp+var_590], rax
0x18a2L,jmp     short loc_18A5
0x18a4L,nop                     ; jumptable 0000000000000488 default case
0x18a5L,mov     eax, [rbp+var_5C]
0x18a8L,cdqe
0x18aaL,shl     rax, 3
0x18aeL,lea     rdx, ds:0[rax*8]
0x18b6L,sub     rdx, rax
0x18b9L,mov     rax, rdx
0x18bcL,neg     rax
0x18bfL,add     [rbp+var_50], rax
0x18c3L,mov     eax, [rbp+var_5C]
0x18c6L,cdqe
0x18c8L,add     rax, rax
0x18cbL,neg     rax
0x18ceL,add     [rbp+var_40], rax
0x18d2L,mov     [rbp+var_5C], 0
0x18d9L,add     [rbp+var_50], 38h
0x18deL,mov     rax, [rbp+var_50]
0x18e2L,mov     rdx, [rbp+var_590]
0x18e9L,mov     [rax], rdx
0x18ecL,mov     rdx, [rbp+var_588]
0x18f3L,mov     [rax+8], rdx
0x18f7L,mov     rdx, [rbp+var_580]
0x18feL,mov     [rax+10h], rdx
0x1902L,mov     rdx, [rbp+var_578]
0x1909L,mov     [rax+18h], rdx
0x190dL,mov     rdx, [rbp+var_570]
0x1914L,mov     [rax+20h], rdx
0x1918L,mov     rdx, [rbp+var_568]
0x191fL,mov     [rax+28h], rdx
0x1923L,mov     rdx, [rbp+var_560]
0x192aL,mov     [rax+30h], rdx
