0x8000000L,mov     eax, [esp+mode]
0x8000d1bL,fnstsw  ax
0x8000d1dL,fstp    st(4)
0x8000d1fL,test    ah, 5
0x8000d22L,jnz     short loc_8000D68
0x8000d24L,fxch    st(3)
0x8000d26L,faddp   st(1), st
0x8000d28L,fld     dword ptr [edx+4]
0x8000d2bL,fucom   st(1)
0x8000d2dL,fnstsw  ax
0x8000d2fL,test    ah, 45h
0x8000d32L,jnz     short loc_8000D70
0x8000d34L,fld1
0x8000d36L,fucompp
0x8000d38L,fnstsw  ax
0x8000d3aL,test    ah, 5
0x8000d3dL,jz      loc_8000DE8
0x8000d43L,fstp    st
0x8000d45L,fstp    st(1)
0x8000d47L,jmp     short loc_8000D76
0x8000d50L,fstp    st
0x8000d52L,fstp    st
0x8000d54L,fstp    st(1)
0x8000d56L,jmp     short loc_8000D76
0x8000d58L,fstp    st
0x8000d5aL,fstp    st
0x8000d5cL,fstp    st(1)
0x8000d5eL,jmp     short loc_8000D76
0x8000d60L,fstp    st
0x8000d62L,fstp    st
0x8000d64L,fstp    st(1)
0x8000d66L,jmp     short loc_8000D76
0x8000d68L,fstp    st
0x8000d6aL,fstp    st
0x8000d6cL,fstp    st(1)
0x8000d6eL,jmp     short loc_8000D76
0x8000d70L,fstp    st
0x8000d72L,fstp    st
0x8000d74L,fstp    st(1)
0x8000d76L,fldz
0x8000d78L,fmul    st, st(1)
0x8000d7aL,mov     dword ptr [ebx+14h], offset default_tuning
0x8000d81L,fucomp  st(2)
0x8000d83L,fnstsw  ax
0x8000d85L,fstp    st(1)
0x8000d87L,test    ah, 45h
0x8000d8aL,jnz     loc_8000C28
0x8000d90L,mov     edx, offset default_tuning
0x8000d95L,cmp     byte ptr [edx+10h], 0
0x8000d99L,fmul    dword ptr [edx+4]
0x8000d9cL,jnz     short loc_8000DA1
0x8000d9eL,fmul    dword ptr [edx+8]
0x8000da1L,fnstcw  [esp+3Ch+var_22]
0x8000da5L,mov     ax, [esp+3Ch+var_22]
0x8000daaL,mov     ah, 0Ch
0x8000dacL,mov     [esp+3Ch+var_24], ax
0x8000db1L,fldcw   [esp+3Ch+var_24]
0x8000db5L,fistp   [esp+3Ch+var_2C]
0x8000db9L,fldcw   [esp+3Ch+var_22]
0x8000dbdL,mov     eax, dword ptr [esp+3Ch+var_2C]
0x8000dc1L,push    edx
0x8000dc2L,push    edx
0x8000dc3L,push    eax
0x8000dc4L,push    ebx
0x8000dc5L,call    hash_rehash
0x8000dcaL,add     esp, 10h
0x8000dcdL,jmp     loc_8000C30
0x8000dd8L,mov     dword ptr [edi], 0
0x8000ddeL,jmp     loc_8000C06
0x8000de3L,call    abort
0x8000de8L,fxch    st(2)
0x8000deaL,fucomp  st(2)
0x8000decL,fnstsw  ax
0x8000deeL,fstp    st(1)
0x8000df0L,test    ah, 45h
0x8000df3L,jnz     short loc_8000D76
0x8000df5L,fstp    st(1)
0x8000df7L,jmp     short loc_8000D95
0x8000000L,push    ebp
0x8000001L,push    edi
0x8000002L,push    esi
0x8000003L,push    ebx
0x8000004L,sub     esp, 9Ch
0x800000aL,mov     eax, [esp+0ACh+arg_0]
0x8000011L,mov     edx, [esp+0ACh+arg_4]
0x8000018L,mov     [esp+0ACh+var_8C], eax
0x800001cL,mov     eax, [esp+0ACh+arg_18]
0x8000023L,mov     [esp+0ACh+var_9C], eax
0x8000027L,mov     eax, [esp+0ACh+arg_C]
0x800002eL,and     eax, 3
0x8000031L,mov     [esp+0ACh+var_88], edx
0x8000035L,mov     [esp+0ACh+var_7C], eax
0x8000039L,mov     eax, [esp+0ACh+arg_C]
0x8000040L,mov     edx, [esp+0ACh+arg_1C]
0x8000047L,and     eax, 20h
0x800004aL,mov     esi, [esp+0ACh+arg_10]
0x8000051L,mov     edi, [esp+0ACh+arg_14]
0x8000058L,mov     [esp+0ACh+var_98], edx
0x800005cL,mov     [esp+0ACh+var_74], eax
0x8000060L,jnz     loc_80003C0
0x8000066L,mov     [esp+0ACh+var_6C], 3E8h
0x800006eL,mov     [esp+0ACh+var_84], 3E8h
0x8000076L,mov     [esp+0ACh+var_80], 0
0x800007eL,mov     ebp, 3E8h
0x8000083L,call    localeconv
0x8000088L,sub     esp, 0Ch
0x800008bL,mov     ebx, eax
0x800008dL,mov     eax, [eax]
0x800008fL,mov     [esp+0B8h+var_70], eax
0x8000093L,push    eax             ; s
0x8000094L,call    strlen
0x8000099L,add     esp, 10h
0x800009cL,mov     [esp+0ACh+var_78], eax
0x80000a0L,dec     eax
0x80000a1L,cmp     eax, 0Fh
0x80000a4L,jbe     short loc_80000B6
0x80000a6L,mov     [esp+0ACh+var_78], 1
0x80000aeL,mov     [esp+0ACh+var_70], offset byte_80016B4
0x80000b6L,mov     eax, [ebx+8]
0x80000b9L,sub     esp, 0Ch
0x80000bcL,mov     [esp+0B8h+var_54], eax
0x80000c0L,mov     eax, [ebx+4]
0x80000c3L,mov     [esp+0B8h+var_94], eax
0x80000c7L,push    eax             ; s
0x80000c8L,call    strlen
0x80000cdL,add     esp, 10h
0x80000d0L,cmp     eax, 10h
0x80000d3L,jbe     short loc_80000DD
0x80000d5L,mov     [esp+0ACh+var_94], offset byte_80016B6
0x80000ddL,mov     eax, [esp+0ACh+s]
0x80000e4L,add     eax, 288h
0x80000e9L,cmp     [esp+0ACh+var_98], edi
0x80000edL,mov     [esp+0ACh+var_90], eax
0x80000f1L,ja      loc_80002DA
0x80000f7L,jnb     loc_80002D0
0x80000fdL,mov     eax, [esp+0ACh+var_98]
0x8000101L,push    eax
0x8000102L,mov     eax, [esp+0B0h+var_9C]
0x8000106L,push    eax
0x8000107L,push    edi
0x8000108L,push    esi
0x8000109L,call    __umoddi3
0x800010eL,add     esp, 10h
0x8000111L,or      edx, eax
0x8000113L,jz      loc_8000528
0x8000119L,mov     edx, [esp+0ACh+var_88]
0x800011dL,mov     eax, [esp+0ACh+var_8C]
0x8000121L,mov     dword ptr [esp+0ACh+var_AC], eax
0x8000124L,mov     dword ptr [esp+0ACh+var_AC+4], edx
0x8000128L,fild    qword ptr [esp+0ACh+var_AC]
0x800012bL,test    edx, edx
0x800012dL,js      loc_8000948
0x8000133L,mov     dword ptr [esp+0ACh+var_AC], esi
0x8000136L,mov     dword ptr [esp+0ACh+var_AC+4], edi
0x800013aL,fild    qword ptr [esp+0ACh+var_AC]
0x800013dL,test    edi, edi
0x800013fL,js      loc_8000960
0x8000145L,mov     edx, [esp+0ACh+var_98]
0x8000149L,mov     eax, [esp+0ACh+var_9C]
0x800014dL,mov     dword ptr [esp+0ACh+var_AC], eax
0x8000150L,mov     dword ptr [esp+0ACh+var_AC+4], edx
0x8000154L,fild    qword ptr [esp+0ACh+var_AC]
0x8000157L,test    edx, edx
0x8000159L,js      loc_8000938
0x800015fL,fdivp   st(1), st
0x8000161L,test    byte ptr [esp+0ACh+arg_C], 10h
0x8000169L,fmulp   st(1), st
0x800016bL,jz      loc_80003E8
0x8000171L,fild    [esp+0ACh+var_6C]
0x8000175L,fld     st
0x8000177L,fmul    st, st(1)
0x8000179L,fxch    st(2)
0x800017bL,fucom   st(2)
0x800017dL,fnstsw  ax
0x800017fL,test    ah, 5
0x8000182L,jnz     loc_800120E
0x8000188L,fld     st(1)
0x800018aL,fmul    st, st(3)
0x800018cL,fxch    st(1)
0x800018eL,fucom   st(1)
0x8000190L,fnstsw  ax
0x8000192L,test    ah, 5
0x8000195L,jnz     loc_800121F
0x800019bL,fstp    st(3)
0x800019dL,fxch    st(1)
0x800019fL,fxch    st(2)
0x80001a1L,fld     st(2)
0x80001a3L,fmul    st, st(2)
0x80001a5L,fxch    st(1)
0x80001a7L,fucom   st(1)
0x80001a9L,fnstsw  ax
0x80001abL,test    ah, 5
0x80001aeL,jnz     loc_8001230
0x80001b4L,fstp    st(2)
0x80001b6L,fxch    st(1)
0x80001b8L,fld     st(2)
0x80001baL,fmul    st, st(2)
0x80001bcL,fxch    st(1)
0x80001beL,fucom   st(1)
0x80001c0L,fnstsw  ax
0x80001c2L,test    ah, 5
0x80001c5L,jnz     loc_8001243
0x80001cbL,fstp    st(2)
0x80001cdL,fxch    st(1)
0x80001cfL,fld     st(2)
0x80001d1L,fmul    st, st(2)
0x80001d3L,fxch    st(1)
0x80001d5L,fucom   st(1)
0x80001d7L,fnstsw  ax
0x80001d9L,test    ah, 5
0x80001dcL,jnz     loc_8001270
0x80001e2L,fstp    st(2)
0x80001e4L,fxch    st(1)
0x80001e6L,fld     st(2)
0x80001e8L,fmul    st, st(2)
0x80001eaL,fxch    st(1)
0x80001ecL,fucom   st(1)
0x80001eeL,fnstsw  ax
0x80001f0L,test    ah, 5
0x80001f3L,jnz     loc_8001283
0x80001f9L,fstp    st(2)
0x80001fbL,fxch    st(1)
0x80001fdL,fxch    st(2)
0x80001ffL,fmul    st, st(1)
0x8000201L,fxch    st(2)
0x8000203L,mov     [esp+0ACh+var_8C], 8
0x800020bL,fucom   st(2)
0x800020dL,fnstsw  ax
0x800020fL,test    ah, 5
0x8000212L,jnz     loc_8001296
0x8000218L,fstp    st(1)
0x800021aL,fdivrp  st(1), st
0x800021cL,cmp     [esp+0ACh+var_7C], 1
0x8000221L,jz      loc_80009A8
0x8000227L,fld     ds:tbyte_8001790
0x800022dL,fucomp  st(1)
0x800022fL,fnstsw  ax
0x8000231L,test    ah, 45h
0x8000234L,jnz     loc_80007C0
0x800023aL,fld     ds:flt_8001788
0x8000240L,fxch    st(1)
0x8000242L,fucom   st(1)
0x8000244L,fnstsw  ax
0x8000246L,test    ah, 5
0x8000249L,jz      loc_8000BF8
0x800024fL,fstp    st(1)
0x8000251L,fnstcw  [esp+0ACh+var_4E]
0x8000255L,mov     ax, [esp+0ACh+var_4E]
0x800025aL,mov     ah, 0Ch
0x800025cL,mov     [esp+0ACh+var_50], ax
0x8000261L,fld     st
0x8000263L,fldcw   [esp+0ACh+var_50]
0x8000267L,fistp   [esp+0ACh+var_5C]
0x800026bL,fldcw   [esp+0ACh+var_4E]
0x800026fL,mov     ecx, dword ptr [esp+0ACh+var_5C]
0x8000273L,mov     ebx, dword ptr [esp+0ACh+var_5C+4]
0x8000277L,mov     edi, [esp+0ACh+var_7C]
0x800027bL,xor     eax, eax
0x800027dL,xor     edx, edx
0x800027fL,test    edi, edi
0x8000281L,jnz     short loc_80002AD
0x8000283L,mov     dword ptr [esp+0ACh+var_AC], ecx
0x8000286L,mov     dword ptr [esp+0ACh+var_AC+4], ebx
0x800028aL,fild    qword ptr [esp+0ACh+var_AC]
0x800028dL,test    ebx, ebx
0x800028fL,js      loc_8001256
0x8000295L,fxch    st(1)
0x8000297L,fucom   st(1)
0x8000299L,fnstsw  ax
0x800029bL,fstp    st(1)
0x800029dL,and     ah, 45h
0x80002a0L,xor     ah, 40h
0x80002a3L,setnz   al
0x80002a6L,and     eax, 0FFh
0x80002abL,xor     edx, edx
0x80002adL,add     ecx, eax
0x80002afL,adc     ebx, edx
0x80002b1L,mov     dword ptr [esp+0ACh+var_AC], ecx
0x80002b4L,mov     dword ptr [esp+0ACh+var_AC+4], ebx
0x80002b8L,test    ebx, ebx
0x80002baL,fild    qword ptr [esp+0ACh+var_AC]
0x80002bdL,jns     loc_80007C8
0x80002c3L,fadd    ds:flt_8001784
0x80002c9L,fxch    st(1)
0x80002cbL,jmp     loc_80007CA
0x80002d0L,cmp     [esp+0ACh+var_9C], esi
0x80002d4L,jbe     loc_80000FD
0x80002daL,mov     eax, edi
0x80002dcL,or      eax, esi
0x80002deL,jz      loc_8000119
0x80002e4L,push    edi
0x80002e5L,push    esi
0x80002e6L,mov     eax, [esp+0B4h+var_98]
0x80002eaL,push    eax
0x80002ebL,mov     eax, [esp+0B8h+var_9C]
0x80002efL,push    eax
0x80002f0L,call    __umoddi3
0x80002f5L,add     esp, 10h
0x80002f8L,or      edx, eax
0x80002faL,jnz     loc_8000119
0x8000300L,push    edi
0x8000301L,push    esi
0x8000302L,mov     edi, [esp+0B4h+var_98]
0x8000306L,push    edi
0x8000307L,mov     eax, [esp+0B8h+var_9C]
0x800030bL,push    eax
0x800030cL,call    __udivdi3
0x8000311L,add     esp, 10h
0x8000314L,mov     [esp+0ACh+var_6C], eax
0x8000318L,mov     [esp+0ACh+var_68], edx
0x800031cL,push    edx
0x800031dL,push    eax
0x800031eL,mov     eax, [esp+0B4h+var_88]
0x8000322L,push    eax
0x8000323L,mov     eax, [esp+0B8h+var_8C]
0x8000327L,push    eax
0x8000328L,call    __umoddi3
0x800032dL,add     esp, 10h
0x8000330L,mov     ecx, eax
0x8000332L,mov     esi, eax
0x8000334L,mov     ebx, edx
0x8000336L,mov     edi, edx
0x8000338L,mov     eax, [esp+0ACh+var_68]
0x800033cL,shld    ebx, ecx, 1
0x8000340L,shld    edi, esi, 3
0x8000344L,add     ecx, ecx
0x8000346L,push    eax
0x8000347L,shl     esi, 3
0x800034aL,mov     eax, [esp+0B0h+var_6C]
0x800034eL,add     esi, ecx
0x8000350L,push    eax
0x8000351L,adc     edi, ebx
0x8000353L,push    edi
0x8000354L,push    esi
0x8000355L,call    __umoddi3
0x800035aL,add     esp, 10h
0x800035dL,shld    edx, eax, 1
0x8000361L,add     eax, eax
0x8000363L,mov     [esp+0ACh+var_60], edx
0x8000367L,mov     [esp+0ACh+var_64], eax
0x800036bL,mov     eax, [esp+0ACh+var_68]
0x800036fL,push    eax
0x8000370L,mov     edx, [esp+0B0h+var_6C]
0x8000374L,push    edx
0x8000375L,mov     ecx, [esp+0B4h+var_88]
0x8000379L,push    ecx
0x800037aL,mov     ebx, [esp+0B8h+var_8C]
0x800037eL,push    ebx
0x800037fL,call    __udivdi3
0x8000384L,add     esp, 10h
0x8000387L,mov     dword ptr [esp+0ACh+var_AC], eax
0x800038aL,mov     dword ptr [esp+0ACh+var_AC+4], edx
0x800038eL,mov     eax, [esp+0ACh+var_68]
0x8000392L,push    eax
0x8000393L,mov     eax, [esp+0B0h+var_6C]
0x8000397L,push    eax
0x8000398L,push    edi
0x8000399L,push    esi
0x800039aL,call    __udivdi3
0x800039fL,add     esp, 10h
0x80003a2L,mov     ecx, [esp+0ACh+var_60]
0x80003a6L,mov     edi, eax
0x80003a8L,cmp     [esp+0ACh+var_68], ecx
0x80003acL,jnb     loc_8000D20
0x80003b2L,mov     esi, 3
0x80003b7L,jmp     loc_80005A9
0x80003c0L,mov     [esp+0ACh+var_6C], 400h
0x80003c8L,mov     [esp+0ACh+var_84], 400h
0x80003d0L,mov     [esp+0ACh+var_80], 0
0x80003d8L,mov     ebp, 400h
0x80003ddL,jmp     loc_8000083
0x80003e8L,cmp     [esp+0ACh+var_7C], 1
0x80003edL,jz      short loc_8000402
0x80003efL,fld     ds:tbyte_8001790
0x80003f5L,fucomp  st(1)
0x80003f7L,fnstsw  ax
0x80003f9L,test    ah, 45h
0x80003fcL,jz      loc_8000720
0x8000402L,sub     esp, 18h
0x8000405L,xor     edi, edi
0x8000407L,fstp    [esp+0C4h+var_C4]
0x800040aL,push    offset format   ; "%.0Lf"
0x800040fL,mov     ebp, [esp+0C8h+s]
0x8000416L,push    ebp             ; s
0x8000417L,call    sprintf
0x800041cL,add     esp, 14h
0x800041fL,mov     eax, [esp+0B8h+s]
0x8000426L,push    eax             ; s
0x8000427L,call    strlen
0x800042cL,add     esp, 10h
0x800042fL,mov     esi, eax
0x8000431L,mov     [esp+0ACh+var_8C], 0FFFFFFFFh
0x8000439L,jmp     short loc_8000450
0x8000440L,fstp    st
0x8000442L,jmp     short loc_8000450
0x8000448L,fstp    st
0x800044aL,lea     esi, [esi+0]
0x8000450L,mov     ebx, [esp+0ACh+var_90]
0x8000454L,push    eax
0x8000455L,push    esi             ; n
0x8000456L,sub     ebx, esi
0x8000458L,mov     edx, [esp+0B4h+s]
0x800045fL,sub     esi, edi
0x8000461L,push    edx             ; src
0x8000462L,push    ebx             ; dest
0x8000463L,lea     ebp, [ebx+esi]
0x8000466L,call    memmove
0x800046bL,add     esp, 10h
0x800046eL,test    byte ptr [esp+0ACh+arg_C], 4
0x8000476L,jnz     loc_8000678
0x800047cL,test    byte ptr [esp+0ACh+arg_C], 80h
0x8000484L,jz      loc_8000510
0x800048aL,cmp     [esp+0ACh+var_8C], 0FFFFFFFFh
0x800048fL,jz      loc_8000970
0x8000495L,mov     eax, [esp+0ACh+arg_C]
0x800049cL,mov     ecx, [esp+0ACh+var_8C]
0x80004a0L,and     eax, 100h
0x80004a5L,or      ecx, eax
0x80004a7L,jz      short loc_8000510
0x80004a9L,test    byte ptr [esp+0ACh+arg_C], 40h
0x80004b1L,jnz     loc_80006F8
0x80004b7L,mov     ecx, [esp+0ACh+var_8C]
0x80004bbL,test    ecx, ecx
0x80004bdL,jz      loc_80013E1
0x80004c3L,mov     edi, [esp+0ACh+var_90]
0x80004c7L,dec     ecx
0x80004c8L,lea     edx, [edi+1]
0x80004cbL,jnz     short loc_80004D7
0x80004cdL,mov     esi, [esp+0ACh+var_74]
0x80004d1L,mov     cl, 6Bh
0x80004d3L,test    esi, esi
0x80004d5L,jz      short loc_80004E1
0x80004d7L,mov     ecx, [esp+0ACh+var_8C]
0x80004dbL,mov     cl, ds:power_letter[ecx]
0x80004e1L,mov     edi, [esp+0ACh+var_90]
0x80004e5L,test    eax, eax
0x80004e7L,mov     [edi], cl
0x80004e9L,jz      loc_80013D8
0x80004efL,mov     eax, [esp+0ACh+var_8C]
0x80004f3L,test    eax, eax
0x80004f5L,jz      short loc_8000506
0x80004f7L,mov     eax, [esp+0ACh+var_74]
0x80004fbL,test    eax, eax
0x80004fdL,jz      short loc_8000506
0x80004ffL,lea     edx, [edi+2]
0x8000502L,mov     byte ptr [edi+1], 69h
0x8000506L,lea     eax, [edx+1]
0x8000509L,mov     byte ptr [edx], 42h
0x800050cL,mov     [esp+0ACh+var_90], eax
0x8000510L,mov     eax, [esp+0ACh+var_90]
0x8000514L,mov     byte ptr [eax], 0
0x8000517L,add     esp, 9Ch
0x800051dL,mov     eax, ebx
0x800051fL,pop     ebx
0x8000520L,pop     esi
0x8000521L,pop     edi
0x8000522L,pop     ebp
0x8000523L,retn
0x8000528L,mov     eax, [esp+0ACh+var_98]
0x800052cL,push    eax
0x800052dL,mov     eax, [esp+0B0h+var_9C]
0x8000531L,push    eax
0x8000532L,push    edi
0x8000533L,push    esi
0x8000534L,call    __udivdi3
0x8000539L,add     esp, 10h
0x800053cL,mov     [esp+0ACh+var_60], edx
0x8000540L,mov     [esp+0ACh+var_64], eax
0x8000544L,mov     ebx, [esp+0ACh+var_60]
0x8000548L,mov     eax, [esp+0ACh+var_8C]
0x800054cL,mov     edx, [esp+0ACh+var_88]
0x8000550L,mov     ecx, [esp+0ACh+var_64]
0x8000554L,imul    ebx, eax
0x8000557L,mov     eax, [esp+0ACh+var_8C]
0x800055bL,imul    ecx, edx
0x800055eL,mul     [esp+0ACh+var_64]
0x8000562L,mov     dword ptr [esp+0ACh+var_AC+4], edx
0x8000566L,add     ecx, ebx
0x8000568L,mov     edx, dword ptr [esp+0ACh+var_AC+4]
0x800056cL,mov     dword ptr [esp+0ACh+var_AC], eax
0x800056fL,add     edx, ecx
0x8000571L,mov     ecx, [esp+0ACh+var_60]
0x8000575L,mov     dword ptr [esp+0ACh+var_AC+4], edx
0x8000579L,push    ecx
0x800057aL,mov     ebx, [esp+0B0h+var_64]
0x800057eL,push    ebx
0x800057fL,mov     eax, dword ptr [esp+0B4h+var_AC+4]
0x8000583L,push    eax
0x8000584L,mov     eax, dword ptr [esp+0B8h+var_AC]
0x8000588L,push    eax
0x8000589L,call    __udivdi3
0x800058eL,add     esp, 10h
0x8000591L,mov     ecx, [esp+0ACh+var_8C]
0x8000595L,mov     ebx, [esp+0ACh+var_88]
0x8000599L,xor     eax, ecx
0x800059bL,xor     edx, ebx
0x800059dL,or      edx, eax
0x800059fL,jnz     loc_8000119
0x80005a5L,xor     esi, esi
0x80005a7L,xor     edi, edi
0x80005a9L,mov     eax, [esp+0ACh+arg_C]
0x80005b0L,and     eax, 10h
0x80005b3L,mov     [esp+0ACh+var_6C], eax
0x80005b7L,jz      loc_8000A08
0x80005bdL,mov     eax, [esp+0ACh+var_80]
0x80005c1L,cmp     dword ptr [esp+0ACh+var_AC+4], eax
0x80005c5L,jb      loc_8000DF8
0x80005cbL,ja      short loc_80005DA
0x80005cdL,mov     eax, [esp+0ACh+var_84]
0x80005d1L,cmp     dword ptr [esp+0ACh+var_AC], eax
0x80005d4L,jb      loc_8000DF8
0x80005daL,mov     edx, [esp+0ACh+var_80]
0x80005deL,push    edx
0x80005dfL,mov     ecx, [esp+0B0h+var_84]
0x80005e3L,push    ecx
0x80005e4L,mov     ebx, dword ptr [esp+0B4h+var_AC+4]
0x80005e8L,push    ebx
0x80005e9L,mov     eax, dword ptr [esp+0B8h+var_AC]
0x80005edL,push    eax
0x80005eeL,call    __umoddi3
0x80005f3L,add     esp, 10h
0x80005f6L,xor     edx, edx
0x80005f8L,lea     eax, [eax+eax*4]
0x80005fbL,lea     eax, [edi+eax*2]
0x80005feL,div     ebp
0x8000600L,mov     [esp+0ACh+var_8C], eax
0x8000604L,mov     eax, esi
0x8000606L,sar     eax, 1
0x8000608L,lea     ebx, [eax+edx*2]
0x800060bL,mov     eax, [esp+0ACh+var_80]
0x800060fL,push    eax
0x8000610L,mov     eax, [esp+0B0h+var_84]
0x8000614L,push    eax
0x8000615L,mov     eax, dword ptr [esp+0B4h+var_AC+4]
0x8000619L,push    eax
0x800061aL,mov     eax, dword ptr [esp+0B8h+var_AC]
0x800061eL,push    eax
0x800061fL,call    __udivdi3
0x8000624L,add     esp, 10h
0x8000627L,cmp     ebp, ebx
0x8000629L,mov     dword ptr [esp+0ACh+var_AC], eax
0x800062cL,mov     dword ptr [esp+0ACh+var_AC+4], edx
0x8000630L,mov     edi, [esp+0ACh+var_8C]
0x8000634L,ja      loc_8000F68
0x800063aL,add     ebx, esi
0x800063cL,cmp     ebp, ebx
0x800063eL,sbb     esi, esi
0x8000640L,xor     esi, 0FFFFFFFFh
0x8000643L,add     esi, 3
0x8000646L,mov     eax, dword ptr [esp+0ACh+var_AC+4]
0x800064aL,cmp     [esp+0ACh+var_80], eax
0x800064eL,jbe     loc_8000ECC
0x8000654L,mov     [esp+0ACh+var_8C], 1
0x800065cL,lea     esi, [esi+0]
0x8000660L,cmp     dword ptr [esp+0ACh+var_AC+4], 0
0x8000665L,jbe     loc_80012B2
0x800066bL,mov     ebp, [esp+0ACh+var_90]
0x800066fL,jmp     loc_8000A14
0x8000678L,sub     esp, 0Ch
0x800067bL,mov     esi, ebp
0x800067dL,sub     esi, ebx
0x800067fL,or      edi, 0FFFFFFFFh
0x8000682L,mov     ecx, [esp+0B8h+var_94]
0x8000686L,push    ecx             ; s
0x8000687L,call    strlen
0x800068cL,add     esp, 0Ch
0x800068fL,mov     dword ptr [esp+0B0h+var_AC], eax
0x8000693L,push    esi             ; n
0x8000694L,push    ebx             ; src
0x8000695L,lea     eax, [esp+0B8h+dest]
0x8000699L,mov     ebx, edi
0x800069bL,push    eax             ; dest
0x800069cL,call    memcpy
0x80006a1L,add     esp, 10h
0x80006a4L,mov     edi, [esp+0ACh+var_54]
0x80006a8L,mov     al, [edi]
0x80006aaL,test    al, al
0x80006acL,jz      short loc_80006B9
0x80006aeL,mov     ebx, esi
0x80006b0L,cmp     al, 7Eh
0x80006b2L,ja      short loc_80006B8
0x80006b4L,xor     ebx, ebx
0x80006b6L,mov     bl, al
0x80006b8L,inc     edi
0x80006b9L,cmp     ebx, esi
0x80006bbL,jbe     short loc_80006BF
0x80006bdL,mov     ebx, esi
0x80006bfL,lea     eax, [esp+0ACh+dest]
0x80006c3L,sub     esi, ebx
0x80006c5L,add     eax, esi
0x80006c7L,sub     ebp, ebx
0x80006c9L,push    edx
0x80006caL,push    ebx             ; n
0x80006cbL,push    eax             ; src
0x80006ccL,push    ebp             ; dest
0x80006cdL,call    memcpy
0x80006d2L,add     esp, 10h
0x80006d5L,test    esi, esi
0x80006d7L,jz      short loc_80006F0
0x80006d9L,mov     eax, dword ptr [esp+0ACh+var_AC]
0x80006dcL,push    edx
0x80006ddL,push    eax             ; n
0x80006deL,sub     ebp, eax
0x80006e0L,mov     ecx, [esp+0B4h+var_94]
0x80006e4L,push    ecx             ; src
0x80006e5L,push    ebp             ; dest
0x80006e6L,call    memcpy
0x80006ebL,add     esp, 10h
0x80006eeL,jmp     short loc_80006A8
0x80006f0L,mov     ebx, ebp
0x80006f2L,jmp     loc_800047C
0x80006f8L,mov     ecx, [esp+0ACh+s]
0x80006ffL,add     ecx, 289h
0x8000705L,mov     [esp+0ACh+var_90], ecx
0x8000709L,mov     ecx, [esp+0ACh+s]
0x8000710L,mov     byte ptr [ecx+288h], 20h
0x8000717L,jmp     loc_80004B7
0x8000720L,fld     ds:flt_8001788
0x8000726L,fxch    st(1)
0x8000728L,fucom   st(1)
0x800072aL,fnstsw  ax
0x800072cL,test    ah, 5
0x800072fL,jz      loc_8000BC0
0x8000735L,fstp    st(1)
0x8000737L,fnstcw  [esp+0ACh+var_4E]
0x800073bL,mov     ax, [esp+0ACh+var_4E]
0x8000740L,mov     ah, 0Ch
0x8000742L,mov     [esp+0ACh+var_50], ax
0x8000747L,fld     st
0x8000749L,fldcw   [esp+0ACh+var_50]
0x800074dL,fistp   [esp+0ACh+var_5C]
0x8000751L,fldcw   [esp+0ACh+var_4E]
0x8000755L,mov     ecx, dword ptr [esp+0ACh+var_5C]
0x8000759L,mov     ebx, dword ptr [esp+0ACh+var_5C+4]
0x800075dL,mov     esi, [esp+0ACh+var_7C]
0x8000761L,xor     eax, eax
0x8000763L,xor     edx, edx
0x8000765L,test    esi, esi
0x8000767L,jnz     short loc_8000798
0x8000769L,mov     dword ptr [esp+0ACh+var_AC], ecx
0x800076cL,mov     dword ptr [esp+0ACh+var_AC+4], ebx
0x8000770L,fild    qword ptr [esp+0ACh+var_AC]
0x8000773L,test    ebx, ebx
0x8000775L,js      loc_8001263
0x800077bL,fxch    st(1)
0x800077dL,fucompp
0x800077fL,fnstsw  ax
0x8000781L,and     ah, 45h
0x8000784L,xor     ah, 40h
0x8000787L,setnz   al
0x800078aL,and     eax, 0FFh
0x800078fL,xor     edx, edx
0x8000791L,jmp     short loc_800079A
0x8000798L,fstp    st
0x800079aL,add     ecx, eax
0x800079cL,adc     ebx, edx
0x800079eL,mov     dword ptr [esp+0ACh+var_AC], ecx
0x80007a1L,mov     dword ptr [esp+0ACh+var_AC+4], ebx
0x80007a5L,test    ebx, ebx
0x80007a7L,fild    qword ptr [esp+0ACh+var_AC]
0x80007aaL,jns     loc_8000402
0x80007b0L,fadd    ds:flt_8001784
0x80007b6L,jmp     loc_8000402
0x80007c0L,fld     st
0x80007c2L,jmp     short loc_80007CA
0x80007c8L,fxch    st(1)
0x80007caL,fstp    [esp+0ACh+var_AC]
0x80007cdL,sub     esp, 18h
0x80007d0L,fstp    [esp+0C4h+var_C4]
0x80007d3L,push    offset a_1lf    ; "%.1Lf"
0x80007d8L,mov     eax, [esp+0C8h+s]
0x80007dfL,push    eax             ; s
0x80007e0L,call    sprintf
0x80007e5L,add     esp, 14h
0x80007e8L,mov     edx, [esp+0B8h+s]
0x80007efL,push    edx             ; s
0x80007f0L,call    strlen
0x80007f5L,add     esp, 10h
0x80007f8L,mov     esi, eax
0x80007faL,mov     edi, [esp+0ACh+var_78]
0x80007feL,xor     eax, eax
0x8000800L,mov     ecx, [esp+0ACh+var_74]
0x8000804L,inc     edi
0x8000805L,test    ecx, ecx
0x8000807L,setz    al
0x800080aL,fld     [esp+0ACh+var_AC]
0x800080dL,lea     eax, [edi+eax+1]
0x8000811L,cmp     esi, eax
0x8000813L,jbe     short loc_8000820
